node1	node2
b0420	b1638	
b0420	b2320	
b0420	b2515	
b0420	b2525	
b0420	b2530	
b0420	b2564	
b0420	b2746	
b0420	b2747	
b0420	b2889	
b0420	b2927	
b0420	b3990	
b0420	b3991	
b0420	b3992	
b0420	b4407	
b0421	b2889	
b0421	b3187	
b0423	b2530	
b0423	b3990	
b0423	b3991	
b0423	b3992	
b0423	b4407	
b0425	b3634	
b0425	b3639	
b0425	b3974	
b0429	b0430	
b0429	b0431	
b0429	b0432	
b0429	b0721	
b0429	b0722	
b0429	b0723	
b0429	b0724	
b0429	b1014	
b0429	b2276	
b0429	b2277	
b0429	b2278	
b0429	b2279	
b0429	b2280	
b0429	b2281	
b0429	b2282	
b0429	b2283	
b0429	b2284	
b0429	b2285	
b0429	b2286	
b0429	b2287	
b0429	b2288	
b0430	b0431	
b0430	b0432	
b0430	b0721	
b0430	b0722	
b0430	b0723	
b0430	b0724	
b0430	b1014	
b0430	b2276	
b0430	b2277	
b0430	b2278	
b0430	b2279	
b0430	b2280	
b0430	b2281	
b0430	b2282	
b0430	b2283	
b0430	b2284	
b0430	b2285	
b0430	b2286	
b0430	b2287	
b0430	b2288	
b0431	b0432	
b0431	b0721	
b0431	b0722	
b0431	b0723	
b0431	b0724	
b0431	b1014	
b0431	b2276	
b0431	b2277	
b0431	b2278	
b0431	b2279	
b0431	b2280	
b0431	b2281	
b0431	b2282	
b0431	b2283	
b0431	b2284	
b0431	b2285	
b0431	b2286	
b0431	b2287	
b0431	b2288	
b0432	b0721	
b0432	b0722	
b0432	b0723	
b0432	b0724	
b0432	b1014	
b0432	b2276	
b0432	b2277	
b0432	b2278	
b0432	b2279	
b0432	b2280	
b0432	b2281	
b0432	b2282	
b0432	b2283	
b0432	b2284	
b0432	b2285	
b0432	b2286	
b0432	b2287	
b0432	b2288	
b0443	b3846	
b0444	b2153	
b0444	b2765	
b0450	b2553	
b0450	b3053	
b0450	b3868	
b0450	b3869	
b0450	b3870	
b0452	b0494	
b0452	b1253	
b0474	b0522	
b0474	b0523	
b0474	b0684	
b0474	b1131	
b0474	b1849	
b0474	b2234	
b0474	b2235	
b0474	b2312	
b0474	b2476	
b0474	b2499	
b0474	b2507	
b0474	b2508	
b0474	b2518	
b0474	b2557	
b0474	b2582	
b0474	b2673	
b0474	b2675	
b0474	b2676	
b0474	b2895	
b0474	b3648	
b0474	b3731	
b0474	b3732	
b0474	b3733	
b0474	b3734	
b0474	b3735	
b0474	b3736	
b0474	b3737	
b0474	b3738	
b0474	b3781	
b0474	b4005	
b0474	b4006	
b0474	b4177	
b0474	b4238	
b0475	b1210	
b0475	b2400	
b0475	b2436	
b0475	b3804	
b0475	b3805	
b0475	b3850	
b0475	b3867	
b0475	b3997	
b0477	b1623	
b0477	b4384	
b0480	b0675	
b0480	b1623	
b0480	b2407	
b0480	b2744	
b0480	b2866	
b0480	b2867	
b0480	b2868	
b0480	b4374	
b0480	b4384	
b0485	b0674	
b0485	b1524	
b0485	b3212	
b0485	b3213	
b0494	b0954	
b0494	b1093	
b0494	b1094	
b0494	b1095	
b0494	b1253	
b0494	b1288	
b0494	b2323	
b0505	b0512	
b0505	b0515	
b0505	b0516	
b0507	b0509	
b0507	b0514	
b0507	b2979	
b0507	b4467	
b0507	b4468	
b0509	b0514	
b0509	b2979	
b0509	b4467	
b0509	b4468	
b0512	b0515	
b0512	b0516	
b0512	b0517	
b0512	b0521	
b0514	b2979	
b0514	b4467	
b0514	b4468	
b0515	b0516	
b0515	b0517	
b0515	b0521	
b0516	b0517	
b0516	b0521	
b0517	b0521	
b0522	b0523	
b0522	b0684	
b0522	b1131	
b0522	b1849	
b0522	b2234	
b0522	b2235	
b0522	b2312	
b0522	b2476	
b0522	b2499	
b0522	b2507	
b0522	b2508	
b0522	b2518	
b0522	b2557	
b0522	b2582	
b0522	b2673	
b0522	b2675	
b0522	b2676	
b0522	b2895	
b0522	b3648	
b0522	b3731	
b0522	b3732	
b0522	b3733	
b0522	b3734	
b0522	b3735	
b0522	b3736	
b0522	b3737	
b0522	b3738	
b0522	b3781	
b0522	b4005	
b0522	b4006	
b0522	b4177	
b0522	b4238	
b0523	b0684	
b0523	b1131	
b0523	b1849	
b0523	b2234	
b0523	b2235	
b0523	b2312	
b0523	b2476	
b0523	b2499	
b0523	b2507	
b0523	b2508	
b0523	b2518	
b0523	b2557	
b0523	b2582	
b0523	b2673	
b0523	b2675	
b0523	b2676	
b0523	b2895	
b0523	b3648	
b0523	b3731	
b0523	b3732	
b0523	b3733	
b0523	b3734	
b0523	b3735	
b0523	b3736	
b0523	b3737	
b0523	b3738	
b0523	b3781	
b0523	b4005	
b0523	b4006	
b0523	b4177	
b0523	b4238	
b0524	b0915	
b0524	b1094	
b0526	b0642	
b0526	b0680	
b0526	b0893	
b0526	b0930	
b0526	b1637	
b0526	b1713	
b0526	b1714	
b0526	b1719	
b0526	b1866	
b0526	b1876	
