"node1","node2","Uni_N1","Uni_N2"
"eco:b0083","eco:b0194","P0AEN4","P16659"
"eco:b0158","eco:b0195","P37028","P28634"
"eco:b0113","eco:b0195","P0ACL9","P28634"
"eco:b0143","eco:b0196","P0ABF1","P69411"
"eco:b0028","eco:b0196","P0AEM0","P69411"
"eco:b0189","eco:b0196","P0AFW8","P69411"
"eco:b0195","eco:b0196","P28634","P69411"
"eco:b0196","eco:b0197","P69411","P28635"
"eco:b0104","eco:b0197","P60560","P28635"
"eco:b0137","eco:b0198","P37017","P31547"
"eco:b0078","eco:b0198","P00894","P31547"
"eco:b0197","eco:b0198","P28635","P31547"
"eco:b0198","eco:b0199","P31547","P30750"
"eco:b0197","eco:b0199","P28635","P30750"
"eco:b0032","eco:b0199","P0A6F1","P30750"
"eco:b0036","eco:b0200","P31551","P63228"
"eco:b0163","eco:b0209","P62768","P0A8U2"
"eco:b0076","eco:b0209","P10151","P0A8U2"
"eco:b0189","eco:b0210","P0AFW8","P30866"
"eco:b0023","eco:b0211","P0A7U7","P0AEZ7"
"eco:b0183","eco:b0214","P10442","P0A7Y4"
"eco:b0076","eco:b0217","P10151","P77339"
"eco:b0003","eco:b0220","P00547","P0AD59"
"eco:b0136","eco:b0221","P37016","Q47146"
"eco:b0096","eco:b0221","P0A725","Q47146"
"eco:b0126","eco:b0222","P61517","P63224"
"eco:b0222","eco:b0223","P63224","Q47147"
"eco:b0024","eco:b0223","P75620","Q47147"
"eco:b0183","eco:b0224","P10442","P0AA99"
"eco:b0143","eco:b0224","P0ABF1","P0AA99"
"eco:b0212","eco:b0226","P0AC84","Q47150"
"eco:b0043","eco:b0227","P68644","Q47151"
"eco:b0069","eco:b0231","P33595","Q47155"
"eco:b0117","eco:b0231","P36682","Q47155"
"eco:b0193","eco:b0231","P37056","Q47155"
"eco:b0232","eco:b0233","Q47156","Q47157"
"eco:b0069","eco:b0233","P33595","Q47157"
"eco:b0153","eco:b0233","P06972","Q47157"
"eco:b0044","eco:b0233","P68646","Q47157"
"eco:b0108","eco:b0233","P36647","Q47157"
"eco:b0233","eco:b0234","Q47157","Q47158"
"eco:b0068","eco:b0238","P31550","P0A9M5"
"eco:b0032","eco:b0238","P0A6F1","P0A9M5"
"eco:b0023","eco:b0238","P0A7U7","P0A9M5"
"eco:b0195","eco:b0242","P28634","P0A7B5"
"eco:b0026","eco:b0242","P00956","P0A7B5"
"eco:b0074","eco:b0242","P09151","P0A7B5"
"eco:b0195","eco:b0243","P28634","P07004"
"eco:b0242","eco:b0243","P0A7B5","P07004"
"eco:b0005","eco:b0246","P75616","Q47684"
"eco:b0245","eco:b0248","P77692","P75676"
"eco:b0157","eco:b0248","P0AFP0","P75676"
"eco:b0247","eco:b0248","Q47685","P75676"
"eco:b0246","eco:b0248","Q47684","P75676"
"eco:b0106","eco:b0249","P36646","P75677"
"eco:b0243","eco:b0249","P07004","P75677"
"eco:b0242","eco:b0249","P0A7B5","P75677"
"eco:b0058","eco:b0249","P0AA37","P75677"
"eco:b0248","eco:b0249","P75676","P75677"
"eco:b0038","eco:b0249","P31572","P75677"
"eco:b0248","eco:b0250","P75676","P77162"
"eco:b0195","eco:b0250","P28634","P77162"
"eco:b0249","eco:b0250","P75677","P77162"
"eco:b0243","eco:b0250","P07004","P77162"
"eco:b0242","eco:b0250","P0A7B5","P77162"
"eco:b0249","eco:b0251","P75677","P77365"
"eco:b0076","eco:b0251","P10151","P77365"
"eco:b0106","eco:b0251","P36646","P77365"
"eco:b0250","eco:b0251","P77162","P77365"
"eco:b0106","eco:b0252","P36646","P77206"
"eco:b0040","eco:b0252","P31553","P77206"
"eco:b0058","eco:b0252","P0AA37","P77206"
"eco:b0164","eco:b0252","P37049","P77206"
"eco:b0248","eco:b0252","P75676","P77206"
"eco:b0108","eco:b0252","P36647","P77206"
"eco:b0045","eco:b0252","P31679","P77206"
"eco:b0250","eco:b0253","P77162","P75678"
"eco:b0242","eco:b0253","P0A7B5","P75678"
"eco:b0249","eco:b0253","P75677","P75678"
"eco:b0070","eco:b0254","P31675","Q57083"
"eco:b0249","eco:b0254","P75677","Q57083"
"eco:b0106","eco:b0254","P36646","Q57083"
"eco:b0248","eco:b0254","P75676","Q57083"
"eco:b0042","eco:b0254","P31574","Q57083"
"eco:b0251","eco:b0254","P77365","Q57083"
"eco:b0251","eco:b0256","P77365","P0CF88"
"eco:b0130","eco:b0256","P31666","P0CF88"
"eco:b0260","eco:b0261","Q47689","Q47690"
"eco:b0066","eco:b0267","P31548","P37007"
"eco:b0245","eco:b0267","P77692","P37007"
"eco:b0037","eco:b0267","P31552","P37007"
"eco:b0061","eco:b0267","P08203","P37007"
"eco:b0030","eco:b0269","P22564","P77596"
"eco:b0268","eco:b0269","P75682","P77596"
"eco:b0150","eco:b0272","P06971","P77300"
"eco:b0183","eco:b0273","P10442","P06960"
"eco:b0143","eco:b0273","P0ABF1","P06960"
"eco:b0116","eco:b0273","P0A9P0","P06960"
"eco:b0224","eco:b0273","P0AA99","P06960"
"eco:b0005","eco:b0273","P75616","P06960"
"eco:b0118","eco:b0273","P36683","P06960"
"eco:b0033","eco:b0273","P00968","P06960"
"eco:b0272","eco:b0273","P77300","P06960"
"eco:b0032","eco:b0273","P0A6F1","P06960"
"eco:b0037","eco:b0278","P31552","P77607"
"eco:b0277","eco:b0278","P77657","P77607"
"eco:b0251","eco:b0279","P77365","P71296"
"eco:b0096","eco:b0279","P0A725","P71296"
"eco:b0138","eco:b0279","P37018","P71296"
"eco:b0157","eco:b0283","P0AFP0","P77183"
"eco:b0262","eco:b0283","P37009","P77183"
"eco:b0248","eco:b0283","P75676","P77183"
"eco:b0069","eco:b0284","P33595","P77489"
"eco:b0283","eco:b0285","P77183","P77324"
"eco:b0284","eco:b0285","P77489","P77324"
"eco:b0283","eco:b0286","P77183","P77165"
"eco:b0198","eco:b0287","P31547","P0AAA1"
"eco:b0228","eco:b0287","Q47152","P0AAA1"
"eco:b0118","eco:b0287","P36683","P0AAA1"
"eco:b0124","eco:b0287","P15877","P0AAA1"
"eco:b0284","eco:b0288","P77489","P0AAL9"
"eco:b0285","eco:b0290","P77324","P77694"
"eco:b0284","eco:b0291","P77489","P77802"
"eco:b0106","eco:b0291","P36646","P77802"
"eco:b0285","eco:b0293","P77324","P0AAA3"
"eco:b0251","eco:b0293","P77365","P0AAA3"
"eco:b0061","eco:b0296","P08203","P0A7N1"
"eco:b0294","eco:b0296","P71301","P0A7N1"
"eco:b0069","eco:b0296","P33595","P0A7N1"
"eco:b0015","eco:b0296","P08622","P0A7N1"
"eco:b0199","eco:b0296","P30750","P0A7N1"
"eco:b0296","eco:b0301","P0A7N1","P75685"
"eco:b0285","eco:b0301","P77324","P75685"
"eco:b0293","eco:b0301","P0AAA3","P75685"
"eco:b0294","eco:b0303","P71301","P75687"
"eco:b0076","eco:b0303","P10151","P75687"
"eco:b0296","eco:b0303","P0A7N1","P75687"
"eco:b0303","eco:b0304","P75687","P77212"
"eco:b0186","eco:b0304","P52095","P77212"
"eco:b0296","eco:b0304","P0A7N1","P77212"
"eco:b0146","eco:b0304","P0A823","P77212"
"eco:b0301","eco:b0304","P75685","P77212"
"eco:b0296","eco:b0305","P0A7N1","P77379"
"eco:b0043","eco:b0305","P68644","P77379"
