"node1","node2","Uni_N1","Uni_N2"
"eco:b0104","eco:b0167","P60560","P27249"
"eco:b0166","eco:b0167","P0A9D8","P27249"
"eco:b0115","eco:b0169","P06959","P0A7V0"
"eco:b0048","eco:b0169","P0ABQ4","P0A7V0"
"eco:b0003","eco:b0169","P00547","P0A7V0"
"eco:b0149","eco:b0169","P02919","P0A7V0"
"eco:b0023","eco:b0169","P0A7U7","P0A7V0"
"eco:b0166","eco:b0169","P0A9D8","P0A7V0"
"eco:b0167","eco:b0169","P27249","P0A7V0"
"eco:b0078","eco:b0169","P00894","P0A7V0"
"eco:b0026","eco:b0169","P00956","P0A7V0"
"eco:b0031","eco:b0169","P04036","P0A7V0"
"eco:b0121","eco:b0169","P09158","P0A7V0"
"eco:b0124","eco:b0169","P15877","P0A7V0"
"eco:b0104","eco:b0169","P60560","P0A7V0"
"eco:b0151","eco:b0169","P07821","P0A7V0"
"eco:b0023","eco:b0170","P0A7U7","P0A6P1"
"eco:b0052","eco:b0170","P19624","P0A6P1"
"eco:b0121","eco:b0170","P09158","P0A6P1"
"eco:b0169","eco:b0170","P0A7V0","P0A6P1"
"eco:b0031","eco:b0170","P04036","P0A6P1"
"eco:b0149","eco:b0170","P02919","P0A6P1"
"eco:b0048","eco:b0170","P0ABQ4","P0A6P1"
"eco:b0166","eco:b0170","P0A9D8","P0A6P1"
"eco:b0026","eco:b0170","P00956","P0A6P1"
"eco:b0115","eco:b0170","P06959","P0A6P1"
"eco:b0003","eco:b0170","P00547","P0A6P1"
"eco:b0072","eco:b0170","P0A6A6","P0A6P1"
"eco:b0104","eco:b0170","P60560","P0A6P1"
"eco:b0115","eco:b0171","P06959","P0A7E9"
"eco:b0170","eco:b0171","P0A6P1","P0A7E9"
"eco:b0120","eco:b0171","P0A7F6","P0A7E9"
"eco:b0071","eco:b0171","P30126","P0A7E9"
"eco:b0031","eco:b0171","P04036","P0A7E9"
"eco:b0149","eco:b0171","P02919","P0A7E9"
"eco:b0047","eco:b0171","P03819","P0A7E9"
"eco:b0109","eco:b0171","P30011","P0A7E9"
"eco:b0068","eco:b0171","P31550","P0A7E9"
"eco:b0026","eco:b0171","P00956","P0A7E9"
"eco:b0133","eco:b0171","P31663","P0A7E9"
"eco:b0166","eco:b0171","P0A9D8","P0A7E9"
"eco:b0124","eco:b0171","P15877","P0A7E9"
"eco:b0072","eco:b0171","P0A6A6","P0A7E9"
"eco:b0169","eco:b0171","P0A7V0","P0A7E9"
"eco:b0134","eco:b0171","P31057","P0A7E9"
"eco:b0052","eco:b0171","P19624","P0A7E9"
"eco:b0023","eco:b0171","P0A7U7","P0A7E9"
"eco:b0048","eco:b0171","P0ABQ4","P0A7E9"
"eco:b0104","eco:b0171","P60560","P0A7E9"
"eco:b0121","eco:b0171","P09158","P0A7E9"
"eco:b0160","eco:b0171","P15723","P0A7E9"
"eco:b0171","eco:b0172","P0A7E9","P0A805"
"eco:b0160","eco:b0172","P15723","P0A805"
"eco:b0149","eco:b0172","P02919","P0A805"
"eco:b0023","eco:b0172","P0A7U7","P0A805"
"eco:b0170","eco:b0172","P0A6P1","P0A805"
"eco:b0115","eco:b0172","P06959","P0A805"
"eco:b0104","eco:b0172","P60560","P0A805"
"eco:b0169","eco:b0172","P0A7V0","P0A805"
"eco:b0029","eco:b0173","P62623","P45568"
"eco:b0169","eco:b0175","P0A7V0","P0ABG1"
"eco:b0171","eco:b0175","P0A7E9","P0ABG1"
"eco:b0170","eco:b0175","P0A6P1","P0ABG1"
"eco:b0052","eco:b0175","P19624","P0ABG1"
"eco:b0078","eco:b0175","P00894","P0ABG1"
"eco:b0031","eco:b0175","P04036","P0ABG1"
"eco:b0072","eco:b0175","P0A6A6","P0ABG1"
"eco:b0090","eco:b0175","P17443","P0ABG1"
"eco:b0134","eco:b0175","P31057","P0ABG1"
"eco:b0004","eco:b0175","P00934","P0ABG1"
"eco:b0172","eco:b0175","P0A805","P0ABG1"
"eco:b0071","eco:b0175","P30126","P0ABG1"
"eco:b0054","eco:b0177","P31554","P0A940"
"eco:b0088","eco:b0179","P14900","P21645"
"eco:b0096","eco:b0179","P0A725","P21645"
"eco:b0004","eco:b0179","P00934","P21645"
"eco:b0166","eco:b0179","P0A9D8","P21645"
"eco:b0003","eco:b0179","P00547","P21645"
"eco:b0090","eco:b0179","P17443","P21645"
"eco:b0179","eco:b0180","P21645","P0A6Q6"
"eco:b0096","eco:b0180","P0A725","P0A6Q6"
"eco:b0004","eco:b0181","P00934","P0A722"
"eco:b0180","eco:b0181","P0A6Q6","P0A722"
"eco:b0031","eco:b0181","P04036","P0A722"
"eco:b0096","eco:b0181","P0A725","P0A722"
"eco:b0068","eco:b0181","P31550","P0A722"
"eco:b0090","eco:b0181","P17443","P0A722"
"eco:b0133","eco:b0181","P31663","P0A722"
"eco:b0166","eco:b0181","P0A9D8","P0A722"
"eco:b0085","eco:b0181","P22188","P0A722"
"eco:b0179","eco:b0181","P21645","P0A722"
"eco:b0088","eco:b0181","P14900","P0A722"
"eco:b0085","eco:b0182","P22188","P10441"
"eco:b0121","eco:b0182","P09158","P10441"
"eco:b0133","eco:b0182","P31663","P10441"
"eco:b0166","eco:b0182","P0A9D8","P10441"
"eco:b0003","eco:b0182","P00547","P10441"
"eco:b0087","eco:b0182","P0A6W3","P10441"
"eco:b0031","eco:b0182","P04036","P10441"
"eco:b0090","eco:b0182","P17443","P10441"
"eco:b0179","eco:b0182","P21645","P10441"
"eco:b0169","eco:b0182","P0A7V0","P10441"
"eco:b0170","eco:b0182","P0A6P1","P10441"
"eco:b0086","eco:b0182","P11880","P10441"
"eco:b0004","eco:b0182","P00934","P10441"
"eco:b0088","eco:b0182","P14900","P10441"
"eco:b0181","eco:b0182","P0A722","P10441"
"eco:b0096","eco:b0182","P0A725","P10441"
"eco:b0068","eco:b0182","P31550","P10441"
"eco:b0104","eco:b0182","P60560","P10441"
"eco:b0091","eco:b0182","P17952","P10441"
"eco:b0175","eco:b0182","P0ABG1","P10441"
"eco:b0171","eco:b0183","P0A7E9","P10442"
"eco:b0182","eco:b0183","P10441","P10442"
"eco:b0023","eco:b0183","P0A7U7","P10442"
"eco:b0171","eco:b0194","P0A7E9","P16659"
"eco:b0026","eco:b0194","P00956","P16659"
"eco:b0104","eco:b0194","P60560","P16659"
