"node1","node2","Uni_N1","Uni_N2"
"eco:b0237","eco:b2557","P15288","P15254"
"eco:b0436","eco:b2567","P0A850","P0A7Y0"
"eco:b0083","eco:b2572","P0AEN4","P0AFX7"
"eco:b2571","eco:b2572","P0AFX9","P0AFX7"
"eco:b0176","eco:b2572","P0AEH1","P0AFX7"
"eco:b1274","eco:b2573","P06612","P0AGB6"
"eco:b1946","eco:b2573","P15070","P0AGB6"
"eco:b1941","eco:b2573","P52612","P0AGB6"
"eco:b1892","eco:b2573","P0A8S9","P0AGB6"
"eco:b1884","eco:b2573","P07364","P0AGB6"
"eco:b1081","eco:b2573","P75942","P0AGB6"
"eco:b0750","eco:b2574","P11458","P10902"
"eco:b0143","eco:b2576","P0ABF1","P21507"
"eco:b2518","eco:b2580","P0A763","P12295"
"eco:b0436","eco:b2581","P0A850","P0AGJ5"
"eco:b0014","eco:b2592","P0A6Y8","P63284"
"eco:b0424","eco:b2592","Q46948","P63284"
"eco:b0881","eco:b2592","P0A8Q6","P63284"
"eco:b0911","eco:b2592","P0AG67","P63284"
"eco:b0194","eco:b2592","P16659","P63284"
"eco:b2477","eco:b2595","P0A903","P0AC02"
"eco:b0177","eco:b2595","P0A940","P0AC02"
"eco:b2512","eco:b2595","P77774","P0AC02"
"eco:b0695","eco:b2610","P21865","P0AGD7"
"eco:b0014","eco:b2614","P0A6Y8","P09372"
"eco:b2592","eco:b2614","P63284","P09372"
"eco:b0015","eco:b2614","P08622","P09372"
"eco:b0177","eco:b2617","P0A940","P0A937"
"eco:b2595","eco:b2617","P0AC02","P0A937"
"eco:b1939","eco:b2669","P0ABZ1","P0ACG1"
"eco:b2234","eco:b2675","P00452","P39452"
"eco:b2675","eco:b2676","P39452","P37146"
"eco:b2234","eco:b2676","P00452","P37146"
"eco:b0436","eco:b2687","P0A850","P45578"
"eco:b0424","eco:b2697","Q46948","P00957"
"eco:b1184","eco:b2699","P04152","P0A7G6"
"eco:b0199","eco:b2719","P30750","P16433"
"eco:b0817","eco:b2719","P0A9F1","P16433"
"eco:b2095","eco:b2721","P0C8J8","P16431"
"eco:b0014","eco:b2721","P0A6Y8","P16431"
"eco:b2095","eco:b2726","P0C8J8","P0A700"
"eco:b2721","eco:b2726","P16431","P0A700"
"eco:b1241","eco:b2726","P0A9Q7","P0A700"
"eco:b2726","eco:b2727","P0A700","P0AAN3"
"eco:b2721","eco:b2727","P16431","P0AAN3"
"eco:b2721","eco:b2728","P16431","P0AAM3"
"eco:b2487","eco:b2728","P77329","P0AAM3"
"eco:b2728","eco:b2729","P0AAM3","P24192"
"eco:b2729","eco:b2730","P24192","P24193"
"eco:b2712","eco:b2730","P30131","P24193"
"eco:b2728","eco:b2730","P0AAM3","P24193"
"eco:b0436","eco:b2747","P0A850","Q46893"
"eco:b0089","eco:b2748","P0ABG4","P0A6S5"
"eco:b0083","eco:b2748","P0AEN4","P0A6S5"
"eco:b0093","eco:b2748","P06136","P0A6S5"
"eco:b0084","eco:b2748","P0AD68","P0A6S5"
"eco:b2751","eco:b2752","P23845","P21156"
"eco:b2757","eco:b2758","Q46898","Q46899"
"eco:b2756","eco:b2758","Q46897","Q46899"
"eco:b2756","eco:b2759","Q46897","P76632"
"eco:b2757","eco:b2759","Q46898","P76632"
"eco:b2758","eco:b2759","Q46899","P76632"
"eco:b2759","eco:b2760","P76632","Q46901"
"eco:b1084","eco:b2779","P21513","P0A6P9"
"eco:b0143","eco:b2779","P0ABF1","P0A6P9"
"eco:b2810","eco:b2811","Q46925","P0AGF2"
"eco:b0149","eco:b2817","P02919","P63883"
"eco:b2819","eco:b2822","P04993","P07648"
"eco:b2581","eco:b2830","P0AGJ5","P0A776"
"eco:b2733","eco:b2831","P23909","P06722"
"eco:b2151","eco:b2837","P25748","P03024"
"eco:b0095","eco:b2910","P0A9A6","P0ADS2"
"eco:b0881","eco:b2916","P0A8Q6","P0A8S1"
"eco:b0755","eco:b2925","P62707","P0AB71"
"eco:b0424","eco:b2925","Q46948","P0AB71"
"eco:b0605","eco:b2926","P0AE08","P0A799"
"eco:b2319","eco:b2926","P08390","P0A799"
"eco:b0166","eco:b2937","P0A9D8","P60651"
"eco:b1926","eco:b2942","P0ABY2","P0A817"
"eco:b1077","eco:b2942","P75938","P0A817"
"eco:b0436","eco:b2942","P0A850","P0A817"
"eco:b1941","eco:b2942","P52612","P0A817"
"eco:b1888","eco:b2942","P07363","P0A817"
"eco:b1950","eco:b2942","P33135","P0A817"
"eco:b2508","eco:b2954","P0ADG7","P52061"
"eco:b1415","eco:b2957","P25553","P00805"
"eco:b1074","eco:b2960","P0ABX2","P0A8I5"
"eco:b1071","eco:b2960","P0AEM4","P0A8I5"
"eco:b0973","eco:b2990","P0ACD8","P0AAM7"
"eco:b2730","eco:b2990","P24193","P0AAM7"
"eco:b2729","eco:b2990","P24192","P0AAM7"
"eco:b2990","eco:b2994","P0AAM7","P0ACE0"
"eco:b2512","eco:b2994","P77774","P0ACE0"
"eco:b2729","eco:b2994","P24192","P0ACE0"
"eco:b0973","eco:b2997","P0ACD8","P69741"
"eco:b0436","eco:b2997","P0A850","P69741"
"eco:b2992","eco:b2997","P0AAN1","P69741"
"eco:b2207","eco:b2997","P0A9I5","P69741"
"eco:b1252","eco:b3005","P02929","P0ABV2"
"eco:b3005","eco:b3006","P0ABV2","P0ABU7"
"eco:b1252","eco:b3006","P02929","P0ABU7"
"eco:b0710","eco:b3011","P0AFP6","Q46856"
"eco:b0924","eco:b3019","P22523","P0AFI2"
"eco:b0890","eco:b3030","P46889","P20083"
"eco:b0463","eco:b3035","P0AE06","P02930"
"eco:b2685","eco:b3035","P27303","P02930"
"eco:b0878","eco:b3035","P75830","P02930"
"eco:b0462","eco:b3035","P31224","P02930"
"eco:b0879","eco:b3035","P75831","P02930"
"eco:b2553","eco:b3053","P0A9Z1","P30870"
