"Uni_N1","Uni_N2"
"eco:b0861","eco:H+"
"eco:b0864","eco:H+"
"eco:b0862","eco:H+"
"eco:b2310","eco:L-Arginine"
"eco:b2307","eco:L-Arginine"
"eco:b2306","eco:L-Arginine"
"eco:b2308","eco:L-Arginine"
"eco:b0863","eco:L-Arginine"
"eco:b0860","eco:L-Arginine"
"eco:b0861","eco:L-Arginine"
"eco:b0864","eco:L-Arginine"
"eco:b0862","eco:L-Arginine"
"eco:b2310","eco:ATP"
"eco:b2307","eco:ATP"
"eco:b2306","eco:ATP"
"eco:b2308","eco:ATP"
"eco:b0863","eco:ATP"
"eco:b0860","eco:ATP"
"eco:b0861","eco:ATP"
"eco:b0864","eco:ATP"
"eco:b0862","eco:ATP"
"eco:b2323","eco:3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]"
"eco:b2323","eco:cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)"
"eco:b2323","eco:CO2"
"eco:b2323","eco:acyl carrier protein"
"eco:b2323","eco:Malonyl-[acyl-carrier protein]"
"eco:b2323","eco:H+"
"eco:b2103","eco:H+"
"eco:b2418","eco:H+"
"eco:b2103","eco:ADP"
"eco:b2418","eco:ADP"
"eco:b2103","eco:4-Amino-2-methyl-5-phosphomethylpyrimidine"
"eco:b2418","eco:4-Amino-2-methyl-5-phosphomethylpyrimidine"
"eco:b2103","eco:ATP"
"eco:b2418","eco:ATP"
"eco:b2103","eco:4-Amino-5-hydroxymethyl-2-methylpyrimidine"
"eco:b2418","eco:4-Amino-5-hydroxymethyl-2-methylpyrimidine"
"eco:b0417","eco:ADP"
"eco:b0417","eco:Thiamine diphosphate"
"eco:b0417","eco:Thiamin monophosphate"
"eco:b0417","eco:ATP"
"eco:b0825","eco:D-Fructose 6-phosphate"
"eco:b3946","eco:D-Fructose 6-phosphate"
"eco:b0825","eco:Glyceraldehyde 3-phosphate"
"eco:b3946","eco:Glyceraldehyde 3-phosphate"
"eco:b0825","eco:Dihydroxyacetone"
"eco:b3946","eco:Dihydroxyacetone"
"eco:b1683","eco:H+"
"eco:b1682","eco:H+"
"eco:b1681","eco:H+"
"eco:b1683","eco:Flavin adenine dinucleotide reduced"
"eco:b1682","eco:Flavin adenine dinucleotide reduced"
"eco:b1681","eco:Flavin adenine dinucleotide reduced"
"eco:b1683","eco:Flavin adenine dinucleotide oxidized"
"eco:b1682","eco:Flavin adenine dinucleotide oxidized"
"eco:b1681","eco:Flavin adenine dinucleotide oxidized"
"eco:b1683","eco:SufBCD with bound [4Fe-4S] cluster"
