"node1"	"node2"	"genename_N1"
"b3528"	"mal-L[e]"	"MALt2_2"
"b3236"	"h"	"MDH"
"b3236"	"mal-L"	"MDH"
"b3236"	"nad"	"MDH"
"b3236"	"nadh"	"MDH"
"b3236"	"oaa"	"MDH"
"b1479"	"co2"	"ME1"
"b1479"	"mal-L"	"ME1"
"b1479"	"nad"	"ME1"
"b1479"	"nadh"	"ME1"
"b1479"	"pyr"	"ME1"
"b2463"	"co2"	"ME2"
"b2463"	"mal-L"	"ME2"
"b2463"	"nadp"	"ME2"
"b2463"	"nadph"	"ME2"
"b2463"	"pyr"	"ME2"
"b2276"	"h"	"NADH16"
"b2277"	"h"	"NADH16"
"b2278"	"h"	"NADH16"
"b2279"	"h"	"NADH16"
"b2280"	"h"	"NADH16"
"b2281"	"h"	"NADH16"
"b2282"	"h"	"NADH16"
"b2283"	"h"	"NADH16"
"b2284"	"h"	"NADH16"
"b2285"	"h"	"NADH16"
"b2286"	"h"	"NADH16"
"b2287"	"h"	"NADH16"
"b2288"	"h"	"NADH16"
"b2276"	"h(e)"	"NADH16"
"b2277"	"h(e)"	"NADH16"
"b2278"	"h(e)"	"NADH16"
"b2279"	"h(e)"	"NADH16"
"b2280"	"h(e)"	"NADH16"
"b2281"	"h(e)"	"NADH16"
"b2282"	"h(e)"	"NADH16"
"b2283"	"h(e)"	"NADH16"
"b2284"	"h(e)"	"NADH16"
"b2285"	"h(e)"	"NADH16"
"b2286"	"h(e)"	"NADH16"
"b2287"	"h(e)"	"NADH16"
"b2288"	"h(e)"	"NADH16"
"b2276"	"nad"	"NADH16"
"b2277"	"nad"	"NADH16"
"b2278"	"nad"	"NADH16"
"b2279"	"nad"	"NADH16"
"b2280"	"nad"	"NADH16"
"b2281"	"nad"	"NADH16"
"b2282"	"nad"	"NADH16"
"b2283"	"nad"	"NADH16"
"b2284"	"nad"	"NADH16"
"b2285"	"nad"	"NADH16"
"b2286"	"nad"	"NADH16"
"b2287"	"nad"	"NADH16"
"b2288"	"nad"	"NADH16"
"b2276"	"nadh"	"NADH16"
"b2277"	"nadh"	"NADH16"
"b2278"	"nadh"	"NADH16"
"b2279"	"nadh"	"NADH16"
"b2280"	"nadh"	"NADH16"
"b2281"	"nadh"	"NADH16"
"b2282"	"nadh"	"NADH16"
"b2283"	"nadh"	"NADH16"
"b2284"	"nadh"	"NADH16"
"b2285"	"nadh"	"NADH16"
"b2286"	"nadh"	"NADH16"
"b2287"	"nadh"	"NADH16"
"b2288"	"nadh"	"NADH16"
"b2276"	"q8"	"NADH16"
"b2277"	"q8"	"NADH16"
"b2278"	"q8"	"NADH16"
"b2279"	"q8"	"NADH16"
"b2280"	"q8"	"NADH16"
"b2281"	"q8"	"NADH16"
"b2282"	"q8"	"NADH16"
"b2283"	"q8"	"NADH16"
"b2284"	"q8"	"NADH16"
"b2285"	"q8"	"NADH16"
"b2286"	"q8"	"NADH16"
"b2287"	"q8"	"NADH16"
"b2288"	"q8"	"NADH16"
"b2276"	"q8h2"	"NADH16"
"b2277"	"q8h2"	"NADH16"
