node1	node2
D-tartrate exchange	D-tartrate
b1106	H+
b1106	Thiamin monophosphate
b1106	ADP
b1106	Thiamin
b1106	ATP
Fe-enterobactin exchange	Fe-enterobactin
b2750	3'-Phosphoadenylyl sulfate
b2750	H+
b2750	ADP
b2750	ATP
b2750	Adenosine 5'-phosphosulfate
b0494	H2O
b0494	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
b0494	H+
b0494	sn-Glycero-3-phosphoethanolamine
b0494	Dodecanoate (n-C12:0)
b0914	Phosphate
b0914	H+
b0914	phosphatidylethanolamine (didodecanoyl, n-C12:0)
b0914	ATP
b0914	phosphatidylethanolamine (didodecanoyl, n-C12:0)
b0914	ADP
b0914	H2O
b3771	H2O
b3771	(S)-3-Methyl-2-oxopentanoate
b3771	(R)-2,3-Dihydroxy-3-methylpentanoate
sulfoacetate exchange	sulfoacetate
b0241	Ethanol
b0929	Ethanol
b1377	Ethanol
b2215	Ethanol
b0241	Ethanol
b0929	Ethanol
b1377	Ethanol
b2215	Ethanol
b2323	CO2
b2323	acyl carrier protein
b2323	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]
b2323	Malonyl-[acyl-carrier protein]
b2323	H+
b2323	cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)
b3172	H+
b3172	N(omega)-(L-Arginino)succinate
b3172	AMP
b3172	Diphosphate
b3172	L-Aspartate
b3172	L-Citrulline
b3172	ATP
b2744	Xanthosine 5'-phosphate
b0480	Xanthosine 5'-phosphate
b4055	Xanthosine 5'-phosphate
b2744	H2O
b0480	H2O
b4055	H2O
b2744	Xanthosine
b0480	Xanthosine
b4055	Xanthosine
b2744	Phosphate
b0480	Phosphate
b4055	Phosphate
b3403	ADP
b3403	Oxaloacetate
b3403	CO2
b3403	Phosphoenolpyruvate
b3403	ATP
b0241	L-Fucose
b0929	L-Fucose
b1377	L-Fucose
b2215	L-Fucose
b0241	L-Fucose
b0929	L-Fucose
b1377	L-Fucose
b2215	L-Fucose
Ferrichrome minus Fe(III) exchange	Ferrichrome minus Fe(III)
b2114	Diphosphate
b2114	L-Methionyl-tRNA (Met)
b2114	L-Methionine
b2114	ATP
b2114	AMP
b2114	tRNA(Met)
b2827	7,8-Dihydrofolate
b2827	5,10-Methylenetetrahydrofolate
b2827	dTMP
b2827	dUMP
b0241	CO2
b0929	CO2
b1377	CO2
b2215	CO2
b0241	CO2
b0929	CO2
b1377	CO2
b2215	CO2
b0241	L-Glutamate
b0929	L-Glutamate
b1377	L-Glutamate
b2215	L-Glutamate
b0241	L-Glutamate
b0929	L-Glutamate
b1377	L-Glutamate
b2215	L-Glutamate
b0349	H+
b0349	Fumarate
b0349	2-hydroxy-6-ketononatrienedioate
b0349	2-Oxopent-4-enoate
b0349	H2O
b0766	Phosphate
b0766	Pyridoxine
b0766	Pyridoxine 5'-phosphate
b0766	H2O
b3771	(R)-2,3-Dihydroxy-3-methylbutanoate
b3771	H2O
b3771	3-Methyl-2-oxobutanoate
b3807	SufSE sulfur acceptor complex
b1683	SufSE sulfur acceptor complex
b1682	SufSE sulfur acceptor complex
b1681	SufSE sulfur acceptor complex
b1679	SufSE sulfur acceptor complex
b1680	SufSE sulfur acceptor complex
b3807	SufBCD with two bound [2Fe-2S] clusters
b1683	SufBCD with two bound [2Fe-2S] clusters
b1682	SufBCD with two bound [2Fe-2S] clusters
b1681	SufBCD with two bound [2Fe-2S] clusters
b1679	SufBCD with two bound [2Fe-2S] clusters
b1680	SufBCD with two bound [2Fe-2S] clusters
b3807	ADP
b1683	ADP
b1682	ADP
b1681	ADP
b1679	ADP
b1680	ADP
b3807	SufSE with bound sulfur
b1683	SufSE with bound sulfur
b1682	SufSE with bound sulfur
b1681	SufSE with bound sulfur
b1679	SufSE with bound sulfur
b1680	SufSE with bound sulfur
b3807	Phosphate
b1683	Phosphate
b1682	Phosphate
b1681	Phosphate
b1679	Phosphate
b1680	Phosphate
b3807	Flavin adenine dinucleotide oxidized
b1683	Flavin adenine dinucleotide oxidized
b1682	Flavin adenine dinucleotide oxidized
b1681	Flavin adenine dinucleotide oxidized
b1679	Flavin adenine dinucleotide oxidized
b1680	Flavin adenine dinucleotide oxidized
b3807	H+
b1683	H+
b1682	H+
b1681	H+
b1679	H+
b1680	H+
b3807	Flavin adenine dinucleotide reduced
b1683	Flavin adenine dinucleotide reduced
b1682	Flavin adenine dinucleotide reduced
b1681	Flavin adenine dinucleotide reduced
b1679	Flavin adenine dinucleotide reduced
b1680	Flavin adenine dinucleotide reduced
b3807	ATP
b1683	ATP
b1682	ATP
b1681	ATP
b1679	ATP
b1680	ATP
b3807	H2O
b1683	H2O
b1682	H2O
b1681	H2O
b1679	H2O
b1680	H2O
b3807	SufBCD with bound [2Fe-2S] cluster
b1683	SufBCD with bound [2Fe-2S] cluster
b1682	SufBCD with bound [2Fe-2S] cluster
b1681	SufBCD with bound [2Fe-2S] cluster
b1679	SufBCD with bound [2Fe-2S] cluster
b1680	SufBCD with bound [2Fe-2S] cluster
b3807	Fe2+
b1683	Fe2+
b1682	Fe2+
b1681	Fe2+
b1679	Fe2+
b1680	Fe2+
b0494	octadecenoate (n-C18:1)
b0494	H2O
b0494	1-octadec-11-enoyl-sn-glycerol 3-phosphate
b0494	H+
b0494	Glycerol 3-phosphate
b0469	Diphosphate
b0469	AMP
b0469	5-Phospho-alpha-D-ribose 1-diphosphate
b0469	Adenine
Sucrose exchange	Sucrose
b3639	H+
b3639	N-((R)-4-Phosphopantothenoyl)-L-cysteine
b3639	Pantetheine 4'-phosphate
b3639	CO2
b0241	ethanesulfonate
b0929	ethanesulfonate
b1377	ethanesulfonate
b2215	ethanesulfonate
b0241	ethanesulfonate
b0929	ethanesulfonate
b1377	ethanesulfonate
b2215	ethanesulfonate
b2744	Xanthosine
b0480	Xanthosine
b4055	Xanthosine
b2744	Phosphate
b0480	Phosphate
b4055	Phosphate
b2744	Xanthosine 5'-phosphate
b0480	Xanthosine 5'-phosphate
b4055	Xanthosine 5'-phosphate
b2744	H2O
b0480	H2O
b4055	H2O
b2323	CO2
b1095	CO2
b2323	acyl carrier protein
b1095	acyl carrier protein
b2323	Dodecanoyl-ACP (n-C12:0ACP)
b1095	Dodecanoyl-ACP (n-C12:0ACP)
b2323	3-Oxotetradecanoyl-[acyl-carrier protein]
b1095	3-Oxotetradecanoyl-[acyl-carrier protein]
b2323	Malonyl-[acyl-carrier protein]
b1095	Malonyl-[acyl-carrier protein]
b2323	H+
b1095	H+
b4382	Thymidine
b4382	Phosphate
b4382	Thymine
b4382	2-Deoxy-D-ribose 1-phosphate
Ferrichrome exchange	Ferrichrome
b0463	H+
b0462	H+
b3035	H+
b2470	H+
b0463	Chloramphenicol
b0462	Chloramphenicol
b3035	Chloramphenicol
b2470	Chloramphenicol
b0463	Chloramphenicol
b0462	Chloramphenicol
b3035	Chloramphenicol
b2470	Chloramphenicol
b0463	H+
b0462	H+
b3035	H+
b2470	H+
b3653	Sodium
b3653	L-Glutamate
b3653	Sodium
b3653	L-Glutamate
b3960	Fumarate
b3960	L-Arginine
b3960	N(omega)-(L-Arginino)succinate
formate-tetrahydrofolate ligase	10-Formyltetrahydrofolate
formate-tetrahydrofolate ligase	5,6,7,8-Tetrahydrofolate
formate-tetrahydrofolate ligase	Phosphate
formate-tetrahydrofolate ligase	ADP
formate-tetrahydrofolate ligase	Formate
formate-tetrahydrofolate ligase	ATP
b1778	Oxidized thioredoxin
b2582	Oxidized thioredoxin
