"node1","node2","Uni_N1","Uni_N2"
"eco:b1312","eco:b4032","P77716","P68183"
"eco:b3451","eco:b4032","P10906","P68183"
"eco:b2179","eco:b4032","P33915","P68183"
"eco:b0831","eco:b4032","P75798","P68183"
"eco:b2178","eco:b4032","P0AFU0","P68183"
"eco:b1485","eco:b4032","P77463","P68183"
"eco:b1292","eco:b4032","P0AGH5","P68183"
"eco:b0367","eco:b4032","Q47539","P68183"
"eco:b0856","eco:b4032","P31135","P68183"
"eco:b0857","eco:b4032","P0AFL1","P68183"
"eco:b1311","eco:b4032","P0AFR7","P68183"
"eco:b1125","eco:b4032","P0AFK4","P68183"
"eco:b0198","eco:b4032","P31547","P68183"
"eco:b3543","eco:b4032","P0AEF8","P68183"
"eco:b1124","eco:b4032","P0AFK6","P68183"
"eco:b1486","eco:b4032","P77308","P68183"
"eco:b1442","eco:b4032","P77156","P68183"
"eco:b0832","eco:b4032","P75799","P68183"
"eco:b1443","eco:b4032","P0AFR9","P68183"
"eco:b2128","eco:b4032","P33359","P68183"
"eco:b1245","eco:b4032","P0AFH6","P68183"
"eco:b1755","eco:b4032","P76224","P68183"
"eco:b1244","eco:b4032","P0AFH2","P68183"
"eco:b3542","eco:b4032","P0AEG1","P68183"
"eco:b2678","eco:b4032","P14176","P68183"
"eco:b1124","eco:b4033","P0AFK6","P02916"
"eco:b3451","eco:b4033","P10906","P02916"
"eco:b2179","eco:b4033","P33915","P02916"
"eco:b1486","eco:b4033","P77308","P02916"
"eco:b0934","eco:b4033","P75851","P02916"
"eco:b1244","eco:b4033","P0AFH2","P02916"
"eco:b0856","eco:b4033","P31135","P02916"
"eco:b0367","eco:b4033","Q47539","P02916"
"eco:b1293","eco:b4033","P0AGH3","P02916"
"eco:b0831","eco:b4033","P75798","P02916"
"eco:b3542","eco:b4033","P0AEG1","P02916"
"eco:b3543","eco:b4033","P0AEF8","P02916"
"eco:b1312","eco:b4033","P77716","P02916"
"eco:b2178","eco:b4033","P0AFU0","P02916"
"eco:b1245","eco:b4033","P0AFH6","P02916"
"eco:b1442","eco:b4033","P77156","P02916"
"eco:b2130","eco:b4033","P33361","P02916"
"eco:b1125","eco:b4033","P0AFK4","P02916"
"eco:b0857","eco:b4033","P0AFL1","P02916"
"eco:b1311","eco:b4033","P0AFR7","P02916"
"eco:b1443","eco:b4033","P0AFR9","P02916"
"eco:b0832","eco:b4033","P75799","P02916"
"eco:b2128","eco:b4033","P33359","P02916"
"eco:b1292","eco:b4033","P0AGH5","P02916"
"eco:b3452","eco:b4033","P10905","P02916"
"eco:b0198","eco:b4033","P31547","P02916"
"eco:b1485","eco:b4033","P77463","P02916"
"eco:b2678","eco:b4033","P14176","P02916"
"eco:b1755","eco:b4033","P76224","P02916"
"eco:b4032","eco:b4033","P68183","P02916"
"eco:b1310","eco:b4034","P76042","P0AEX9"
"eco:b3453","eco:b4034","P0AG80","P0AEX9"
"eco:b1754","eco:b4034","P76223","P0AEX9"
"eco:b0652","eco:b4035","P0AAG3","P68187"
"eco:b1756","eco:b4035","P76909","P68187"
"eco:b3352","eco:b4035","P63389","P68187"
"eco:b0794","eco:b4035","P0A9U1","P68187"
"eco:b3454","eco:b4035","P22731","P68187"
"eco:b0490","eco:b4035","P77279","P68187"
"eco:b2547","eco:b4035","P77509","P68187"
"eco:b0949","eco:b4035","P43672","P68187"
"eco:b1290","eco:b4035","P0AAH8","P68187"
"eco:b3455","eco:b4035","P0A9S7","P68187"
"eco:b0495","eco:b4035","P0A9T8","P68187"
"eco:b2306","eco:b4035","P07109","P68187"
"eco:b3271","eco:b4035","P45769","P68187"
"eco:b0588","eco:b4035","P23878","P68187"
"eco:b3201","eco:b4035","P0A9V1","P68187"
"eco:b3195","eco:b4035","P63386","P68187"
"eco:b0151","eco:b4035","P07821","P68187"
"eco:b0127","eco:b4035","P36879","P68187"
"eco:b1513","eco:b4035","P77257","P68187"
"eco:b1441","eco:b4035","P77795","P68187"
"eco:b1709","eco:b4035","P06611","P68187"
"eco:b2129","eco:b4035","P33360","P68187"
"eco:b0809","eco:b4035","P10346","P68187"
"eco:b1917","eco:b4035","P37774","P68187"
"eco:b0864","eco:b4035","P0AAF6","P68187"
"eco:b3720","eco:b4036","P26218","P02943"
"eco:b3862","eco:b4041","P32129","P0A7A7"
"eco:b1145","eco:b4043","P75974","P0A7C2"
"eco:b1183","eco:b4043","P0AG11","P0A7C2"
"eco:b1663","eco:b4044","P37340","P28303"
"eco:b1985","eco:b4044","P76352","P28303"
