"node1","node2","Uni_N1","Uni_N2"
"eco:b2785","eco:b4371","P55135","P39406"
"eco:b2744","eco:b4373","P0A840","P0A944"
"eco:b0167","eco:b4373","P27249","P0A944"
"eco:b1066","eco:b4373","P0A948","P0A944"
"eco:b0630","eco:b4373","P60720","P0A944"
"eco:b2729","eco:b4373","P24192","P0A944"
"eco:b2674","eco:b4373","P0A772","P0A944"
"eco:b2340","eco:b4373","P76502","P0A944"
"eco:b1427","eco:b4373","P13857","P0A944"
"eco:b3715","eco:b4374","P31467","P0A8Y1"
"eco:b2690","eco:b4374","P77475","P0A8Y1"
"eco:b0844","eco:b4374","P75809","P0A8Y1"
"eco:b0383","eco:b4374","P00634","P0A8Y1"
"eco:b3812","eco:b4374","P0ADP0","P0A8Y1"
"eco:b0446","eco:b4374","P46891","P0A8Y1"
"eco:b3399","eco:b4374","P64636","P0A8Y1"
"eco:b1727","eco:b4374","P77247","P0A8Y1"
"eco:b3385","eco:b4374","P32662","P0A8Y1"
"eco:b3697","eco:b4374","P0A8Y5","P0A8Y1"
"eco:b0766","eco:b4374","P21829","P0A8Y1"
"eco:b3826","eco:b4374","P27848","P0A8Y1"
"eco:b2727","eco:b4375","P0AAN3","P0A7I4"
"eco:b2566","eco:b4375","P06616","P0A7I4"
"eco:b3590","eco:b4375","P14081","P0A7I4"
"eco:b2610","eco:b4375","P0AGD7","P0A7I4"
"eco:b2891","eco:b4375","P07012","P0A7I4"
"eco:b0225","eco:b4375","Q47149","P0A7I4"
"eco:b3168","eco:b4375","P0A705","P0A7I4"
"eco:b0160","eco:b4375","P15723","P0A7I4"
"eco:b2173","eco:b4375","P33030","P0A7I4"
"eco:b2511","eco:b4375","P0A6P5","P0A7I4"
"eco:b1211","eco:b4375","P0A7I0","P0A7I4"
"eco:b2918","eco:b4375","P27254","P0A7I4"
"eco:b1212","eco:b4375","P0ACC1","P0A7I4"
"eco:b3983","eco:b4375","P0A7J7","P0A7I4"
"eco:b3183","eco:b4375","P42641","P0A7I4"
"eco:b2751","eco:b4375","P23845","P0A7I4"
"eco:b2569","eco:b4375","P60785","P0A7I4"
"eco:b3464","eco:b4375","P10121","P0A7I4"
"eco:b4161","eco:b4375","P39286","P0A7I4"
"eco:b4346","eco:b4375","P15005","P0A7I4"
"eco:b2573","eco:b4376","P0AGB6","P0AFH8"
"eco:b2677","eco:b4376","P14175","P0AFH8"
"eco:b2678","eco:b4376","P14176","P0AFH8"
"eco:b0875","eco:b4376","P60844","P0AFH8"
"eco:b0890","eco:b4376","P46889","P0AFH8"
"eco:b0577","eco:b4376","P0AAT4","P0AFH8"
"eco:b0311","eco:b4376","P17444","P0AFH8"
"eco:b1049","eco:b4376","P62517","P0AFH8"
"eco:b1896","eco:b4376","P31677","P0AFH8"
"eco:b1048","eco:b4376","P33136","P0AFH8"
"eco:b3374","eco:b4381","P45543","P0A6L0"
"eco:b0049","eco:b4381","P05637","P0A6L0"
"eco:b4238","eco:b4381","P28903","P0A6L0"
