"node1","node2","Uni_N1","Uni_N2"
"eco:b0145","eco:b0630","P0ABS1","P60720"
"eco:b0438","eco:b0631","P0A6H1","P0A8J4"
"eco:b0607","eco:b0631","P39177","P0A8J4"
"eco:b0382","eco:b0632","P0AAN9","P0AEB2"
"eco:b0074","eco:b0632","P09151","P0AEB2"
"eco:b0023","eco:b0632","P0A7U7","P0AEB2"
"eco:b0200","eco:b0632","P63228","P0AEB2"
"eco:b0086","eco:b0634","P11880","P0ABG7"
"eco:b0459","eco:b0636","P77791","P0A8I8"
"eco:b0480","eco:b0639","P07024","P0A752"
"eco:b0416","eco:b0640","P0A780","P28630"
"eco:b0215","eco:b0640","P03007","P28630"
"eco:b0184","eco:b0640","P10443","P28630"
"eco:b0470","eco:b0640","P06710","P28630"
"eco:b0226","eco:b0640","Q47150","P28630"
"eco:b0139","eco:b0642","P33129","P07813"
"eco:b0168","eco:b0642","P0AE18","P07813"
"eco:b0129","eco:b0643","P36881","P0AAT9"
"eco:b0129","eco:b0644","P36881","P77234"
"eco:b0643","eco:b0644","P0AAT9","P77234"
"eco:b0231","eco:b0646","Q47155","P77381"
"eco:b0369","eco:b0651","P0ACB2","P41409"
"eco:b0267","eco:b0652","P37007","P0AAG3"
"eco:b0415","eco:b0654","P61714","P0AER3"
"eco:b0652","eco:b0655","P0AAG3","P37902"
"eco:b0489","eco:b0655","P0AA53","P37902"
"eco:b0031","eco:b0655","P04036","P37902"
"eco:b0338","eco:b0658","P27111","P0AE78"
"eco:b0189","eco:b0659","P0AFW8","P0A898"
"eco:b0574","eco:b0660","P77239","P0A9K3"
"eco:b0382","eco:b0660","P0AAN9","P0A9K3"
"eco:b0528","eco:b0660","P0AAS7","P0A9K3"
"eco:b0435","eco:b0661","P0ABE2","P0AEI1"
"eco:b0606","eco:b0661","P35340","P0AEI1"
"eco:b0344","eco:b0661","G0ZKW2","P0AEI1"
"eco:b0344","eco:b0661","P00722","P0AEI1"
"eco:b0184","eco:b0674","P10443","P22106"
"eco:b0290","eco:b0674","P77694","P22106"
"eco:b0674","eco:b0675","P22106","P0AF24"
"eco:b0432","eco:b0676","P0ABJ1","P0AF20"
"eco:b0095","eco:b0676","P0A9A6","P0AF20"
"eco:b0382","eco:b0676","P0AAN9","P0AF20"
"eco:b0592","eco:b0676","P0AEL6","P0AF20"
"eco:b0036","eco:b0677","P31551","P0AF18"
"eco:b0627","eco:b0678","P0A843","P0A759"
"eco:b0436","eco:b0678","P0A850","P0A759"
"eco:b0383","eco:b0678","P00634","P0A759"
"eco:b0177","eco:b0683","P0A940","P0A9A9"
"eco:b0119","eco:b0683","P0A8E5","P0A9A9"
"eco:b0023","eco:b0683","P0A7U7","P0A9A9"
"eco:b0655","eco:b0683","P37902","P0A9A9"
"eco:b0327","eco:b0685","P75692","P0AAU7"
"eco:b0440","eco:b0687","P0ACF4","P0AFY8"
"eco:b0008","eco:b0688","P0A870","P36938"
"eco:b0134","eco:b0688","P31057","P36938"
"eco:b0072","eco:b0688","P0A6A6","P36938"
"eco:b0394","eco:b0688","P23917","P36938"
"eco:b0550","eco:b0692","P0AG74","P0AAF1"
"eco:b0083","eco:b0692","P0AEN4","P0AAF1"
"eco:b0680","eco:b0693","P00962","P24169"
"eco:b0381","eco:b0693","P0A6J8","P24169"
"eco:b0694","eco:b0695","P21866","P21865"
"eco:b0060","eco:b0695","P21189","P21865"
"eco:b0475","eco:b0697","P23871","P03960"
"eco:b0432","eco:b0697","P0ABJ1","P03960"
"eco:b0452","eco:b0697","P0AGG2","P03960"
"eco:b0473","eco:b0697","P0A6Z3","P03960"
"eco:b0492","eco:b0700","P77395","P16918"
"eco:b0344","eco:b0700","P00722","P16918"
"eco:b0439","eco:b0700","P0A9M0","P16918"
"eco:b0614","eco:b0700","P0A6G5","P16918"
"eco:b0114","eco:b0700","P0AFG8","P16918"
"eco:b0481","eco:b0700","P0AAR3","P16918"
"eco:b0014","eco:b0700","P0A6Y8","P16918"
"eco:b0344","eco:b0700","G0ZKW2","P16918"
"eco:b0436","eco:b0700","P0A850","P16918"
"eco:b0497","eco:b0700","P16919","P16918"
"eco:b0525","eco:b0700","P23869","P16918"
"eco:b0544","eco:b0706","P77698","P28916"
"eco:b0683","eco:b0707","P0A9A9","P24252"
"eco:b0376","eco:b0710","P0AD70","P0AFP6"
"eco:b0015","eco:b0710","P08622","P0AFP6"
"eco:b0608","eco:b0710","P77316","P0AFP6"
"eco:b0439","eco:b0710","P0A9M0","P0AFP6"
"eco:b0661","eco:b0710","P0AEI1","P0AFP6"
"eco:b0241","eco:b0710","P02932","P0AFP6"
"eco:b0178","eco:b0710","P0AEU7","P0AFP6"
"eco:b0436","eco:b0710","P0A850","P0AFP6"
"eco:b0485","eco:b0712","P77454","P75745"
"eco:b0711","eco:b0712","P0AAV4","P75745"
"eco:b0710","eco:b0712","P0AFP6","P75745"
"eco:b0015","eco:b0713","P08622","P75746"
"eco:b0436","eco:b0713","P0A850","P75746"
"eco:b0710","eco:b0713","P0AFP6","P75746"
"eco:b0635","eco:b0713","P0AD65","P75746"
"eco:b0712","eco:b0714","P75745","P50465"
"eco:b0440","eco:b0714","P0ACF4","P50465"
"eco:b0376","eco:b0717","P0AD70","P75749"
"eco:b0067","eco:b0719","P31549","P37909"
"eco:b0436","eco:b0720","P0A850","P0ABH7"
"eco:b0119","eco:b0720","P0A8E5","P0ABH7"
"eco:b0143","eco:b0720","P0ABF1","P0ABH7"
"eco:b0710","eco:b0720","P0AFP6","P0ABH7"
"eco:b0473","eco:b0723","P0A6Z3","P0AC41"
"eco:b0723","eco:b0724","P0AC41","P07014"
"eco:b0628","eco:b0726","P60716","P0AFG3"
"eco:b0120","eco:b0726","P0A7F6","P0AFG3"
"eco:b0116","eco:b0727","P0A9P0","P0AFG6"
"eco:b0726","eco:b0727","P0AFG3","P0AFG6"
"eco:b0453","eco:b0727","P77717","P0AFG6"
"eco:b0120","eco:b0727","P0A7F6","P0AFG6"
"eco:b0173","eco:b0727","P45568","P0AFG6"
"eco:b0678","eco:b0728","P0A759","P0A836"
"eco:b0239","eco:b0728","P04335","P0A836"
"eco:b0015","eco:b0728","P08622","P0A836"
"eco:b0354","eco:b0728","P51024","P0A836"
"eco:b0605","eco:b0728","P0AE08","P0A836"
"eco:b0074","eco:b0728","P09151","P0A836"
"eco:b0550","eco:b0728","P0AG74","P0A836"
"eco:b0661","eco:b0728","P0AEI1","P0A836"
"eco:b0074","eco:b0729","P09151","P0AGE9"
"eco:b0723","eco:b0729","P0AC41","P0AGE9"
"eco:b0728","eco:b0729","P0A836","P0AGE9"
"eco:b0344","eco:b0732","G0ZKW2","P54746"
"eco:b0344","eco:b0732","P00722","P54746"
"eco:b0098","eco:b0736","P10408","P0A8Z3"
"eco:b0600","eco:b0736","P77806","P0A8Z3"
"eco:b0023","eco:b0736","P0A7U7","P0A8Z3"
"eco:b0658","eco:b0738","P0AE78","P0ABV6"
"eco:b0239","eco:b0739","P04335","P19934"
"eco:b0425","eco:b0740","P0A9J4","P0A855"
"eco:b0633","eco:b0740","P10100","P0A855"
"eco:b0185","eco:b0750","P0ABD5","P11458"
"eco:b0676","eco:b0755","P0AF20","P62707"
"eco:b0102","eco:b0755","P36680","P62707"
"eco:b0279","eco:b0755","P71296","P62707"
"eco:b0754","eco:b0755","P0AB91","P62707"
"eco:b0755","eco:b0756","P62707","P0A9C3"
"eco:b0262","eco:b0764","P37009","P0AF01"
"eco:b0048","eco:b0772","P0ABQ4","P46130"
"eco:b0098","eco:b0775","P10408","P12996"
"eco:b0440","eco:b0779","P0ACF4","P0A8F8"
"eco:b0687","eco:b0779","P0AFY8","P0A8F8"
"eco:b0026","eco:b0780","P00956","P75767"
"eco:b0139","eco:b0780","P33129","P75767"
"eco:b0477","eco:b0780","P0AEW6","P75767"
"eco:b0506","eco:b0781","P0ACN4","P30745"
"eco:b0766","eco:b0781","P21829","P30745"
"eco:b0328","eco:b0781","P75693","P30745"
"eco:b0424","eco:b0782","Q46948","P0AEZ9"
"eco:b0677","eco:b0785","P0AF18","P30749"
"eco:b0506","eco:b0785","P0ACN4","P30749"
"eco:b0784","eco:b0785","P30748","P30749"
"eco:b0531","eco:b0793","P77249","P0AFQ2"
"eco:b0092","eco:b0793","P07862","P0AFQ2"
"eco:b0041","eco:b0794","P60566","P0A9U1"
"eco:b0780","eco:b0794","P75767","P0A9U1"
"eco:b0643","eco:b0794","P0AAT9","P0A9U1"
"eco:b0723","eco:b0794","P0AC41","P0A9U1"
"eco:b0719","eco:b0795","P37909","P75777"
"eco:b0605","eco:b0796","P0AE08","P0ACU0"
"eco:b0583","eco:b0796","P19925","P0ACU0"
"eco:b0185","eco:b0797","P0ABD5","P25888"
"eco:b0578","eco:b0797","P38489","P25888"
"eco:b0237","eco:b0797","P15288","P25888"
"eco:b0178","eco:b0798","P0AEU7","P30176"
"eco:b0683","eco:b0798","P0A9A9","P30176"
"eco:b0683","eco:b0799","P0A9A9","P27296"
"eco:b0253","eco:b0800","P75678","P30177"
"eco:b0098","eco:b0800","P10408","P30177"
"eco:b0015","eco:b0800","P08622","P30177"
"eco:b0710","eco:b0800","P0AFP6","P30177"
"eco:b0215","eco:b0801","P03007","P30178"
"eco:b0383","eco:b0804","P00634","P75779"
