"node1","node2","Uni_N1","Uni_N2"
"eco:b3127","eco:b4478","P0AA80","Q6BF17"
"eco:b1581","eco:b4478","P38104","Q6BF17"
"eco:b0505","eco:b4478","P77731","Q6BF17"
"eco:b0428","eco:b4478","P0AEA5","Q6BF17"
"eco:b0616","eco:b4478","P0A9I1","Q6BF17"
"eco:b4323","eco:b4478","P39160","Q6BF17"
"eco:b1695","eco:b4478","P0A9U8","Q6BF17"
"eco:b0221","eco:b4478","Q47146","Q6BF17"
"eco:b2172","eco:b4478","P33029","Q6BF17"
"eco:b1397","eco:b4478","P0C7L2","Q6BF17"
"eco:b1393","eco:b4478","P76082","Q6BF17"
"eco:b1441","eco:b4478","P77795","Q6BF17"
"eco:b1394","eco:b4478","P77467","Q6BF17"
"eco:b4477","eco:b4478","Q6BF16","Q6BF17"
"eco:b4266","eco:b4478","P0A9P9","Q6BF17"
"eco:b1800","eco:b4478","P76251","Q6BF17"
"eco:b4324","eco:b4478","P39161","Q6BF17"
"eco:b0039","eco:b4478","P60584","Q6BF17"
"eco:b0036","eco:b4478","P31551","Q6BF17"
"eco:b3693","eco:b4478","P31459","Q6BF17"
"eco:b1325","eco:b4478","P51981","Q6BF17"
"eco:b0041","eco:b4478","P60566","Q6BF17"
"eco:b3094","eco:b4478","P0ACL2","Q6BF17"
"eco:b1253","eco:b4478","P0A8Z0","Q6BF17"
"eco:b2247","eco:b4478","P77215","Q6BF17"
"eco:b0042","eco:b4478","P31574","Q6BF17"
"eco:b4356","eco:b4478","P39398","Q6BF17"
"eco:b1698","eco:b4478","P77378","Q6BF17"
"eco:b1656","eco:b4478","P0AGD3","Q6BF17"
"eco:b4476","eco:b4478","P0AC96","Q6BF17"
"eco:b0522","eco:b4478","P09029","Q6BF17"
"eco:b0432","eco:b4478","P0ABJ1","Q6BF17"
"eco:b1697","eco:b4478","P76201","Q6BF17"
"eco:b2980","eco:b4479","P0ACL5","P31460"
"eco:b3755","eco:b4479","P31475","P31460"
"eco:b2975","eco:b4479","Q46839","P31460"
"eco:b4324","eco:b4479","P39161","P31460"
"eco:b4478","eco:b4479","Q6BF17","P31460"
"eco:b2664","eco:b4479","P37338","P31460"
"eco:b3743","eco:b4479","P0ACI6","P31460"
"eco:b4477","eco:b4479","Q6BF16","P31460"
"eco:b1450","eco:b4479","P76114","P31460"
"eco:b4357","eco:b4479","P39399","P31460"
"eco:b1540","eco:b4479","P0ACM2","P31460"
"eco:b3693","eco:b4479","P31459","P31460"
"eco:b3604","eco:b4479","P0ACL7","P31460"
"eco:b3226","eco:b4479","P0A8W0","P31460"
"eco:b0113","eco:b4479","P0ACL9","P31460"
"eco:b3094","eco:b4479","P0ACL2","P31460"
"eco:b2577","eco:b4480","P33634","P0A8R9"
"eco:b3961","eco:b4480","P0ACQ4","P0A8R9"
"eco:b3764","eco:b4480","P0ADN2","P0A8R9"
"eco:b3711","eco:b4480","P31463","P0A8R9"
"eco:b1328","eco:b4480","P77333","P0A8R9"
"eco:b2537","eco:b4480","Q47141","P0A8R9"
"eco:b0208","eco:b4480","P30864","P0A8R9"
"eco:b1183","eco:b4480","P0AG11","P0A8R9"
"eco:b3598","eco:b4480","P32108","P0A8R9"
"eco:b3773","eco:b4480","P05827","P0A8R9"
"eco:b1422","eco:b4480","P77171","P0A8R9"
"eco:b4327","eco:b4480","P39376","P0A8R9"
"eco:b1799","eco:b4480","P76250","P0A8R9"
"eco:b2405","eco:b4480","P23841","P0A8R9"
"eco:b2015","eco:b4480","P76369","P0A8R9"
"eco:b3585","eco:b4480","P37682","P0A8R9"
"eco:b3828","eco:b4480","P0A9F9","P0A8R9"
"eco:b1595","eco:b4480","P77559","P0A8R9"
"eco:b0338","eco:b4480","P27111","P0A8R9"
