"node1","node2","Uni_N1","Uni_N2"
"eco:b0724","eco:b0726","P07014","P0AFG3"
"eco:b0720","eco:b0726","P0ABH7","P0AFG3"
"eco:b0116","eco:b0726","P0A9P0","P0AFG3"
"eco:b0721","eco:b0726","P69054","P0AFG3"
"eco:b0118","eco:b0726","P36683","P0AFG3"
"eco:b0726","eco:b0727","P0AFG3","P0AFG6"
"eco:b0118","eco:b0727","P36683","P0AFG6"
"eco:b0723","eco:b0727","P0AC41","P0AFG6"
"eco:b0115","eco:b0727","P06959","P0AFG6"
"eco:b0722","eco:b0727","P0AC44","P0AFG6"
"eco:b0720","eco:b0727","P0ABH7","P0AFG6"
"eco:b0724","eco:b0727","P07014","P0AFG6"
"eco:b0721","eco:b0727","P69054","P0AFG6"
"eco:b0628","eco:b0727","P60716","P0AFG6"
"eco:b0116","eco:b0727","P0A9P0","P0AFG6"
"eco:b0630","eco:b0727","P60720","P0AFG6"
"eco:b0726","eco:b0728","P0AFG3","P0A836"
"eco:b0722","eco:b0728","P0AC44","P0A836"
"eco:b0727","eco:b0728","P0AFG6","P0A836"
"eco:b0720","eco:b0728","P0ABH7","P0A836"
"eco:b0723","eco:b0728","P0AC41","P0A836"
"eco:b0724","eco:b0728","P07014","P0A836"
"eco:b0721","eco:b0728","P69054","P0A836"
"eco:b0116","eco:b0728","P0A9P0","P0A836"
"eco:b0118","eco:b0728","P36683","P0A836"
"eco:b0722","eco:b0729","P0AC44","P0AGE9"
"eco:b0118","eco:b0729","P36683","P0AGE9"
"eco:b0720","eco:b0729","P0ABH7","P0AGE9"
"eco:b0727","eco:b0729","P0AFG6","P0AGE9"
"eco:b0726","eco:b0729","P0AFG3","P0AGE9"
"eco:b0728","eco:b0729","P0A836","P0AGE9"
"eco:b0721","eco:b0729","P69054","P0AGE9"
"eco:b0723","eco:b0729","P0AC41","P0AGE9"
"eco:b0724","eco:b0729","P07014","P0AGE9"
"eco:b0116","eco:b0729","P0A9P0","P0AGE9"
"eco:b0724","eco:b0733","P07014","P0ABJ9"
"eco:b0722","eco:b0733","P0AC44","P0ABJ9"
"eco:b0723","eco:b0733","P0AC41","P0ABJ9"
"eco:b0721","eco:b0733","P69054","P0ABJ9"
"eco:b0723","eco:b0734","P0AC41","P0ABK2"
"eco:b0722","eco:b0734","P0AC44","P0ABK2"
"eco:b0724","eco:b0734","P07014","P0ABK2"
"eco:b0733","eco:b0734","P0ABJ9","P0ABK2"
"eco:b0721","eco:b0734","P69054","P0ABK2"
"eco:b0639","eco:b0750","P0A752","P11458"
"eco:b0109","eco:b0750","P30011","P11458"
"eco:b0388","eco:b0754","P0A6E1","P0AB91"
"eco:b0756","eco:b0757","P0A9C3","P0A6T3"
"eco:b0756","eco:b0758","P0A9C3","P09148"
"eco:b0757","eco:b0758","P0A6T3","P09148"
"eco:b0758","eco:b0759","P09148","P09147"
"eco:b0756","eco:b0759","P0A9C3","P09147"
"eco:b0757","eco:b0759","P0A6T3","P09147"
"eco:b0755","eco:b0766","P62707","P21829"
"eco:b0008","eco:b0767","P0A870","P52697"
"eco:b0180","eco:b0774","P0A6Q6","P12995"
"eco:b0774","eco:b0775","P12995","P12996"
"eco:b0180","eco:b0775","P0A6Q6","P12996"
"eco:b0775","eco:b0776","P12996","P12998"
"eco:b0180","eco:b0776","P0A6Q6","P12998"
"eco:b0774","eco:b0776","P12995","P12998"
"eco:b0774","eco:b0777","P12995","P12999"
"eco:b0776","eco:b0777","P12998","P12999"
"eco:b0180","eco:b0777","P0A6Q6","P12999"
"eco:b0775","eco:b0777","P12996","P12999"
"eco:b0777","eco:b0778","P12999","P13000"
"eco:b0774","eco:b0778","P12995","P13000"
"eco:b0775","eco:b0778","P12996","P13000"
"eco:b0180","eco:b0778","P0A6Q6","P13000"
"eco:b0776","eco:b0778","P12998","P13000"
"eco:b0009","eco:b0781","P0AF03","P30745"
"eco:b0781","eco:b0784","P30745","P30748"
"eco:b0009","eco:b0784","P0AF03","P30748"
"eco:b0781","eco:b0785","P30745","P30749"
"eco:b0784","eco:b0785","P30748","P30749"
"eco:b0009","eco:b0785","P0AF03","P30749"
"eco:b0175","eco:b0789","P0ABG1","P0AA84"
"eco:b0418","eco:b0789","P18200","P0AA84"
"eco:b0688","eco:b0822","P36938","P75792"
"eco:b0124","eco:b0822","P15877","P75792"
"eco:b0785","eco:b0826","P30749","P12282"
"eco:b0781","eco:b0826","P30745","P12282"
"eco:b0009","eco:b0826","P0AF03","P12282"
"eco:b0784","eco:b0826","P30748","P12282"
"eco:b0781","eco:b0827","P30745","P12281"
"eco:b0826","eco:b0827","P12282","P12281"
"eco:b0009","eco:b0827","P0AF03","P12281"
"eco:b0785","eco:b0827","P30749","P12281"
"eco:b0784","eco:b0827","P30748","P12281"
"eco:b0351","eco:b0870","P77580","P75823"
"eco:b0642","eco:b0893","P07813","P0A8L1"
"eco:b0194","eco:b0893","P16659","P0A8L1"
"eco:b0680","eco:b0893","P00962","P0A8L1"
