"network";"DRUG_ID";"Drug1";"Drug2";"SET";"clusters_all";"sigma.rate_all";"type";"clusters_set";"sigma.rate_set";"code_3letter1";"code_3letter2";"drug_cat";"drug_category1";"drug_category2";"categorycategory";"targ";"targeted_cellular_process1";"targeted_cellular_process2";"processprocess";"us";"use1";"use2";"useuse";"ebw";"ecr";"seo";"stm";"pae";"pau";"int_sign_ebw";"int_sign_ecr";"int_sign_seo";"int_sign_stm";"int_sign_pae";"int_sign_pau";"ebw_g";"ecr_g";"seo_g";"stm_g";"pae_g";"pau_g";"sum_g";"SR_ebw_D1";"SR_ecr_D1";"SR_stm_D1";"SR_seo_D1";"SR_pae_D1";"SR_pau_D1";"SR_ebw_D2";"SR_ecr_D2";"SR_stm_D2";"SR_seo_D2";"SR_pae_D2";"SR_pau_D2";"SR_ebw";"SR_ecr";"SR_stm";"SR_seo";"SR_pae";"SR_pau";"SR_score_ebw";"SR_score_ecr";"SR_score_stm";"SR_score_seo";"SR_score_pae";"SR_score_pau";"SR_score_total";"HDC_ebw_D1";"HDC_ecr_D1";"HDC_stm_D1";"HDC_seo_D1";"HDC_pae_D1";"HDC_pau_D1";"LF_ebw_D1";"LF_ecr_D1";"LF_stm_D1";"LF_seo_D1";"LF_pae_D1";"LF_pau_D1";"HDC_ebw_D2";"HDC_ecr_D2";"HDC_stm_D2";"HDC_seo_D2";"HDC_pae_D2";"HDC_pau_D2";"LF_ebw_D2";"LF_ecr_D2";"LF_stm_D2";"LF_seo_D2";"LF_pae_D2";"LF_pau_D2";"mean.path.length";"mean.k.edge";"mean.min.degree";"mean.max.degree";"mean.mean.degree";"max.adjacency";"mean.min.bet";"mean.max.bet";"mean.mean.bet";"mean.min.EVC";"mean.max.EVC";"mean.mean.EVC";"mean.sigma_all";"mean.sigma_set";"connection_onoff"
"Co-functional (EcoCyc/GO-BP)";"Amoxicillin-Fosfomycin";"Amoxicillin";"Fosfomycin";"TRUE";"14";"0,008";"Additivity-Synergy";"7";"0,009";"AMX";"FOF";"0";"beta-lactam";"other cell wall";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,235424396";"-0,197434681";"-0,233475371";"-0,215339380";"0,098113534";"-0,079069555";"Synergy";"Synergy";"Synergy";"Synergy";"Additivity";"Additivity";"-1";"-1";"-1";"-1";"0";"0";"-4";"S";"S";"R";"R";"R";"R";"S";"S";"S";"R";"S";"S";"SS";"SS";"RS";"RR";"RS";"RS";"-1";"-1";"0";"1";"0";"0";"-1";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,100";"0,100";"0,050";"0,050";"15,00";"5,00";"0,39";"0,49";"0,65";"0,77";"0,00";"0,00";"1,167";"27,000";"27,000";"53,833";"40,417";"1";"77,140";"19939,870";"10008,505";"0,010";"0,025";"0,018";"0,008";"0,009";"connected"
"Co-functional (EcoCyc/GO-BP)";"Amoxicillin-Fusidic acid";"Amoxicillin";"Fusidic acid";"TRUE";"11";"0,001";"Additivity";"8";"0,004";"AMX";"FUS";"0";"beta-lactam";"other protein synthesis inhibitor";"beta-lactam-other protein synthesis inhibitor";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,062409106";"-0,058405106";"0,044725621";"0,052123106";"0,027466794";"-0,046666980";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"R";"R";"S";"S";"R";"R";"R";"R";"SS";"SS";"RR";"RR";"RR";"RR";"-1";"-1";"1";"1";"1";"1";"2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"100,000";"100,000";"100,000";"100,000";"100,00";"100,00";"0,56";"0,43";"0,86";"0,73";"0,83";"0,84";"4,500";"1,000";"1,000";"53,833";"27,417";"0";"0,000";"19939,870";"9969,935";"0,000";"0,025";"0,013";"0,001";"0,004";"connected"
"Small/medium-scale PPI";"Amoxicillin-Imipenem";"Amoxicillin";"Imipenem";"TRUE";"14";"0,008";"Additivity-Synergy";"7";"0,009";"AMX";"IPM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,105926127";"-0,202354674";"-0,321397596";"-0,157550957";"-0,057216058";"-0,048262283";"Additivity";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"0";"0";"-1";"0";"0";"0";"-1";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"RS";"RS";"RS";"RS";"-1";"-1";"0";"0";"0";"0";"-2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,125";"0,125";"0,125";"0,125";"3,00";"0,75";"0,28";"0,44";"0,07";"0,00";"0,00";"0,00";"2,800";"1,600";"2,000";"7,200";"4,600";"1";"207,807";"865,821";"536,814";"0,027";"0,061";"0,044";"0,008";"0,009";"connected"
"Co-functional(EcoCyc)";"Amoxicillin-Imipenem";"Amoxicillin";"Imipenem";"TRUE";"14";"0,008";"Additivity-Synergy";"7";"0,009";"AMX";"IPM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,105926127";"-0,202354674";"-0,321397596";"-0,157550957";"-0,057216058";"-0,048262283";"Additivity";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"0";"0";"-1";"0";"0";"0";"-1";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"RS";"RS";"RS";"RS";"-1";"-1";"0";"0";"0";"0";"-2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,125";"0,125";"0,125";"0,125";"3,00";"0,75";"0,28";"0,44";"0,07";"0,00";"0,00";"0,00";"1,000";"15,000";"15,000";"15,000";"15,000";"1";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,008";"0,009";"connected"
"Co-functional (EcoCyc/GO-BP)";"Amoxicillin-Imipenem";"Amoxicillin";"Imipenem";"TRUE";"14";"0,008";"Additivity-Synergy";"7";"0,009";"AMX";"IPM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,105926127";"-0,202354674";"-0,321397596";"-0,157550957";"-0,057216058";"-0,048262283";"Additivity";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"0";"0";"-1";"0";"0";"0";"-1";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"RS";"RS";"RS";"RS";"-1";"-1";"0";"0";"0";"0";"-2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,125";"0,125";"0,125";"0,125";"3,00";"0,75";"0,28";"0,44";"0,07";"0,00";"0,00";"0,00";"1,067";"43,667";"45,000";"62,667";"53,833";"1";"11165,367";"28714,373";"19939,870";"0,019";"0,031";"0,025";"0,008";"0,009";"connected"
"Small/medium-scale PPI";"Amoxicillin-Levofloxacin";"Amoxicillin";"Levofloxacin";"TRUE";"1";"0,004";"Additivity";"1";"0,003";"AMX";"LCX";"0";"beta-lactam";"DNA gyrase";"beta-lactam-DNA gyrase";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,041196462";"0,104154232";"0,075445848";"0,071997404";"0,092005420";"0,213789549";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"RS";"RS";"RS";"RS";"-1";"-1";"0";"0";"0";"0";"-2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,040";"0,040";"0,080";"0,080";"2,00";"0,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5,150";"1,550";"1,900";"6,450";"4,175";"0";"134,203";"1769,751";"951,977";"0,014";"0,053";"0,033";"0,004";"0,003";"connected"
"Co-functional (EcoCyc/GO-BP)";"Amoxicillin-Levofloxacin";"Amoxicillin";"Levofloxacin";"TRUE";"1";"0,004";"Additivity";"1";"0,003";"AMX";"LCX";"0";"beta-lactam";"DNA gyrase";"beta-lactam-DNA gyrase";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,041196462";"0,104154232";"0,075445848";"0,071997404";"0,092005420";"0,213789549";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"RS";"RS";"RS";"RS";"-1";"-1";"0";"0";"0";"0";"-2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,040";"0,040";"0,080";"0,080";"2,00";"0,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2,083";"13,000";"13,000";"53,833";"33,417";"1";"861,438";"19939,870";"10400,654";"0,005";"0,025";"0,015";"0,004";"0,003";"connected"
"Small/medium-scale PPI";"Amoxicillin-Mecillinam";"Amoxicillin";"Mecillinam";"TRUE";"14";"0,008";"Additivity-Synergy";"7";"0,009";"AMX";"MEC";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,191183394";"-0,138135399";"-0,469801302";"-0,441930634";"-0,026747104";"0,029940943";"Synergy";"Synergy";"Synergy";"Synergy";"Additivity";"Additivity";"-1";"-1";"-1";"-1";"0";"0";"-4";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"R";"R";"SS";"SS";"RS";"RS";"RR";"RR";"-1";"-1";"0";"0";"1";"1";"0";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,060";"0,060";"0,060";"0,060";"2,00";"2,00";"0,00";"0,00";"0,00";"0,00";"0,90";"0,91";"3,250";"1,000";"1,000";"5,500";"3,250";"0";"0,000";"671,018";"335,509";"0,038";"0,070";"0,054";"0,008";"0,009";"connected"
"Co-functional (EcoCyc/GO-BP)";"Amoxicillin-Mecillinam";"Amoxicillin";"Mecillinam";"TRUE";"14";"0,008";"Additivity-Synergy";"7";"0,009";"AMX";"MEC";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,191183394";"-0,138135399";"-0,469801302";"-0,441930634";"-0,026747104";"0,029940943";"Synergy";"Synergy";"Synergy";"Synergy";"Additivity";"Additivity";"-1";"-1";"-1";"-1";"0";"0";"-4";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"R";"R";"SS";"SS";"RS";"RS";"RR";"RR";"-1";"-1";"0";"0";"1";"1";"0";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,060";"0,060";"0,060";"0,060";"2,00";"2,00";"0,00";"0,00";"0,00";"0,00";"0,90";"0,91";"1,000";"49,400";"50,200";"72,000";"61,100";"1";"12645,600";"56411,220";"34528,410";"0,022";"0,040";"0,031";"0,008";"0,009";"connected"
"Small/medium-scale PPI";"Amoxicillin-Meropenem";"Amoxicillin";"Meropenem";"TRUE";"14";"0,008";"Additivity";"7";"0,009";"AMX";"MEM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,150878137";"-0,127733475";"-0,372150374";"-0,290776153";"0,073021789";"-0,042094051";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"RS";"RS";"RS";"RS";"-1";"-1";"0";"0";"0";"0";"-2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,080";"0,040";"0,080";"0,040";"1,00";"0,25";"0,09";"0,12";"0,00";"0,00";"0,00";"0,00";"2,800";"1,600";"2,000";"7,200";"4,600";"1";"207,807";"865,821";"536,814";"0,027";"0,061";"0,044";"0,008";"0,009";"connected"
"Co-functional(EcoCyc)";"Amoxicillin-Meropenem";"Amoxicillin";"Meropenem";"TRUE";"14";"0,008";"Additivity";"7";"0,009";"AMX";"MEM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,150878137";"-0,127733475";"-0,372150374";"-0,290776153";"0,073021789";"-0,042094051";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"RS";"RS";"RS";"RS";"-1";"-1";"0";"0";"0";"0";"-2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,080";"0,040";"0,080";"0,040";"1,00";"0,25";"0,09";"0,12";"0,00";"0,00";"0,00";"0,00";"1,000";"15,000";"15,000";"15,000";"15,000";"1";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,008";"0,009";"connected"
"Co-functional (EcoCyc/GO-BP)";"Amoxicillin-Meropenem";"Amoxicillin";"Meropenem";"TRUE";"14";"0,008";"Additivity";"7";"0,009";"AMX";"MEM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,150878137";"-0,127733475";"-0,372150374";"-0,290776153";"0,073021789";"-0,042094051";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"RS";"RS";"RS";"RS";"-1";"-1";"0";"0";"0";"0";"-2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,080";"0,040";"0,080";"0,040";"1,00";"0,25";"0,09";"0,12";"0,00";"0,00";"0,00";"0,00";"1,067";"43,667";"45,000";"62,667";"53,833";"1";"11165,367";"28714,373";"19939,870";"0,019";"0,031";"0,025";"0,008";"0,009";"connected"
"Co-functional (EcoCyc/GO-BP)";"Amoxicillin-Metformin";"Amoxicillin";"Metformin";"TRUE";"1";"0,004";"Additivity-Antagonism";"3";"0,003";"AMX";"MF";"0";"beta-lactam";"human drug";"beta-lactam-human drug";"0";"cell wall";"human";"cell wall-human";"0";"antibiotic";"human-targeted drug";"antibiotic-human-targeted drug";"0,244481275";"0,174963722";"0,046502430";"-0,049882376";"-0,064780163";"-0,081837398";"Antagonism";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"1";"0";"0";"0";"0";"0";"1";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"RS";"RS";"RS";"RS";"-1";"-1";"0";"0";"0";"0";"-2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"12916,000";"12916,000";"38748,000";"38748,000";"25832,00";"25832,00";"0,54";"0,27";"0,67";"0,63";"0,48";"0,58";"Inf";"0,000";"6,000";"53,833";"29,917";"0";"0,000";"19939,870";"9969,935";"0,000";"0,025";"0,013";"0,004";"0,003";"disconnected"
"Co-functional(EcoCyc)";"Amoxicillin-Metformin";"Amoxicillin";"Metformin";"TRUE";"1";"0,004";"Additivity-Antagonism";"3";"0,003";"AMX";"MF";"0";"beta-lactam";"human drug";"beta-lactam-human drug";"0";"cell wall";"human";"cell wall-human";"0";"antibiotic";"human-targeted drug";"antibiotic-human-targeted drug";"0,244481275";"0,174963722";"0,046502430";"-0,049882376";"-0,064780163";"-0,081837398";"Antagonism";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"1";"0";"0";"0";"0";"0";"1";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"RS";"RS";"RS";"RS";"-1";"-1";"0";"0";"0";"0";"-2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"12916,000";"12916,000";"38748,000";"38748,000";"25832,00";"25832,00";"0,54";"0,27";"0,67";"0,63";"0,48";"0,58";"Inf";"0,000";"6,000";"15,000";"10,500";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,004";"0,003";"disconnected"
"Small/medium-scale PPI";"Amoxicillin-Metformin";"Amoxicillin";"Metformin";"TRUE";"1";"0,004";"Additivity-Antagonism";"3";"0,003";"AMX";"MF";"0";"beta-lactam";"human drug";"beta-lactam-human drug";"0";"cell wall";"human";"cell wall-human";"0";"antibiotic";"human-targeted drug";"antibiotic-human-targeted drug";"0,244481275";"0,174963722";"0,046502430";"-0,049882376";"-0,064780163";"-0,081837398";"Antagonism";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"1";"0";"0";"0";"0";"0";"1";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"RS";"RS";"RS";"RS";"-1";"-1";"0";"0";"0";"0";"-2";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"12916,000";"12916,000";"38748,000";"38748,000";"25832,00";"25832,00";"0,54";"0,27";"0,67";"0,63";"0,48";"0,58";"6,000";"1,000";"1,000";"4,600";"2,800";"0";"0,000";"536,814";"268,407";"0,000";"0,044";"0,022";"0,004";"0,003";"connected"
"Small/medium-scale PPI";"Amoxicillin-Moxifloxacin";"Amoxicillin";"Moxifloxacin";"TRUE";"1";"0,004";"Additivity";"1";"0,003";"AMX";"MXF";"0";"beta-lactam";"quinolones";"beta-lactam-quinolones";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,159454576";"0,183461778";"0,108575650";"0,058563520";"0,042572221";"0,079342136";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"R";"S";"SS";"SS";"RS";"RS";"RR";"RS";"-1";"-1";"0";"0";"1";"0";"-1";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,080";"0,080";"0,080";"0,080";"0,50";"0,50";"0,00";"0,04";"0,64";"0,00";"0,96";"0,67";"5,150";"1,550";"1,900";"6,450";"4,175";"0";"134,203";"1769,751";"951,977";"0,014";"0,053";"0,033";"0,004";"0,003";"connected"
"Co-functional (EcoCyc/GO-BP)";"Amoxicillin-Moxifloxacin";"Amoxicillin";"Moxifloxacin";"TRUE";"1";"0,004";"Additivity";"1";"0,003";"AMX";"MXF";"0";"beta-lactam";"quinolones";"beta-lactam-quinolones";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,159454576";"0,183461778";"0,108575650";"0,058563520";"0,042572221";"0,079342136";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"R";"R";"S";"S";"S";"S";"R";"S";"SS";"SS";"RS";"RS";"RR";"RS";"-1";"-1";"0";"0";"1";"0";"-1";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,080";"0,080";"0,080";"0,080";"0,50";"0,50";"0,00";"0,04";"0,64";"0,00";"0,96";"0,67";"2,083";"13,000";"13,000";"53,833";"33,417";"1";"861,438";"19939,870";"10400,654";"0,005";"0,025";"0,015";"0,004";"0,003";"connected"
"Small/medium-scale PPI";"Amoxicillin-Novobiocin";"Amoxicillin";"Novobiocin";"TRUE";"15";"0,004";"Additivity";"8";"0,004";"AMX";"NVB";"0";"beta-lactam";"quinolones";"beta-lactam-quinolones";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,066903584";"-0,065558675";"0,082819994";"-0,054962249";"0,045879939";"-0,023972867";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"R";"R";"S";"S";"R";"S";"R";"R";"SS";"SS";"RR";"RS";"RR";"RR";"-1";"-1";"1";"0";"1";"1";"1";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"20,000";"20,000";"20,000";"20,000";"20,00";"20,00";"0,45";"0,00";"0,85";"0,28";"0,86";"0,91";"5,500";"2,100";"2,800";"8,300";"5,550";"0";"268,407";"3002,687";"1635,547";"0,027";"0,062";"0,045";"0,004";"0,004";"connected"
"Co-functional (EcoCyc/GO-BP)";"Amoxicillin-Novobiocin";"Amoxicillin";"Novobiocin";"TRUE";"15";"0,004";"Additivity";"8";"0,004";"AMX";"NVB";"0";"beta-lactam";"quinolones";"beta-lactam-quinolones";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,066903584";"-0,065558675";"0,082819994";"-0,054962249";"0,045879939";"-0,023972867";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"R";"R";"R";"R";"S";"S";"R";"S";"R";"R";"SS";"SS";"RR";"RS";"RR";"RR";"-1";"-1";"1";"0";"1";"1";"1";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"20,000";"20,000";"20,000";"20,000";"20,00";"20,00";"0,45";"0,00";"0,85";"0,28";"0,86";"0,91";"1,500";"20,000";"20,000";"53,833";"36,917";"1";"1165,260";"19939,870";"10552,565";"0,010";"0,025";"0,018";"0,004";"0,004";"connected"
"Small/medium-scale PPI";"Amoxicillin-Penicillin G";"Amoxicillin";"Penicillin G";"TRUE";"14";"0,008";"Additivity-Synergy";"7";"0,009";"AMX";"PEN";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,095728565";"-0,218339027";"-0,285003647";"-0,263337696";"-0,096389369";"-0,020774024";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"Additivity";"0";"-1";"0";"0";"0";"0";"-1";"S";"S";"R";"R";"R";"R";"R";"S";"S";"S";"R";"R";"SR";"SS";"RS";"RS";"RR";"RR";"0";"-1";"0";"0";"1";"1";"1";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"5,000";"5,000";"1,250";"1,250";"10,00";"10,00";"0,80";"0,67";"0,62";"0,62";"0,93";"0,91";"2,800";"1,600";"2,000";"7,200";"4,600";"1";"207,807";"865,821";"536,814";"0,027";"0,061";"0,044";"0,008";"0,009";"connected"
"Co-functional(EcoCyc)";"Amoxicillin-Penicillin G";"Amoxicillin";"Penicillin G";"TRUE";"14";"0,008";"Additivity-Synergy";"7";"0,009";"AMX";"PEN";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,095728565";"-0,218339027";"-0,285003647";"-0,263337696";"-0,096389369";"-0,020774024";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"Additivity";"0";"-1";"0";"0";"0";"0";"-1";"S";"S";"R";"R";"R";"R";"R";"S";"S";"S";"R";"R";"SR";"SS";"RS";"RS";"RR";"RR";"0";"-1";"0";"0";"1";"1";"1";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"5,000";"5,000";"1,250";"1,250";"10,00";"10,00";"0,80";"0,67";"0,62";"0,62";"0,93";"0,91";"1,000";"15,000";"15,000";"15,000";"15,000";"1";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,008";"0,009";"connected"
"Co-functional (EcoCyc/GO-BP)";"Amoxicillin-Penicillin G";"Amoxicillin";"Penicillin G";"TRUE";"14";"0,008";"Additivity-Synergy";"7";"0,009";"AMX";"PEN";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,095728565";"-0,218339027";"-0,285003647";"-0,263337696";"-0,096389369";"-0,020774024";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"Additivity";"0";"-1";"0";"0";"0";"0";"-1";"S";"S";"R";"R";"R";"R";"R";"S";"S";"S";"R";"R";"SR";"SS";"RS";"RS";"RR";"RR";"0";"-1";"0";"0";"1";"1";"1";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"5,000";"5,000";"1,250";"1,250";"10,00";"10,00";"0,80";"0,67";"0,62";"0,62";"0,93";"0,91";"1,067";"43,667";"45,000";"62,667";"53,833";"1";"11165,367";"28714,373";"19939,870";"0,019";"0,031";"0,025";"0,008";"0,009";"connected"
"Small/medium-scale PPI";"Amoxicillin-Piperacillin";"Amoxicillin";"Piperacillin";"TRUE";"14";"0,008";"Additivity-Antagonism-Synergy";"7";"0,009";"AMX";"PIP";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,185511961";"-0,293649022";"-0,473645304";"-0,594606308";"0,314074822";"0,081068472";"Synergy";"Synergy";"Synergy";"Synergy";"Antagonism";"Additivity";"-1";"-1";"-1";"-1";"1";"0";"-3";"S";"S";"R";"R";"R";"R";"R";"S";"S";"S";"S";"S";"SR";"SS";"RS";"RS";"RS";"RS";"0";"-1";"0";"0";"0";"0";"-1";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"0,300";"0,300";"1,000";"1,000";"2,00";"3,00";"0,80";"0,68";"0,60";"0,62";"0,00";"0,00";"2,800";"1,600";"2,000";"7,200";"4,600";"1";"207,807";"865,821";"536,814";"0,027";"0,061";"0,044";"0,008";"0,009";"connected"
