"N1","N2"
"P0AA39","P60422"
"P0AGK4","P60422"
"P0A7Z4","P60422"
"P0A7W7","P60422"
"P0ADY7","P60422"
"P0A7K6","P60422"
"P0A9Y6","P60422"
"P05055","P60422"
"P08245","P60422"
"P0A6Q6","P60422"
"P60624","P60422"
"P61175","P60422"
"P0AA10","P60422"
"P0A7U7","P60422"
"P0A7T3","P60422"
"P75864","P60422"
"P0A7L3","P60422"
"P23830","P60422"
"P0C018","P60422"
"P68679","P60422"
"P76073","P60422"
"P10408","P60422"
"P0ADZ4","P60422"
"P0A7M6","P60422"
"P0ADY3","P60422"
"P43329","P60422"
"P30871","P60422"
"P21513","P60422"
"P75829","P60422"
"P0A847","P60422"
"P36979","P60422"
"P0A8M6","P60422"
"P0AAB6","P60422"
"P0A707","P60422"
"P68919","P60422"
"P0AFI2","P60422"
"P36659","P60422"
"P20083","P60422"
"P06612","P60422"
"P0A7U3","P60422"
"P21645","P60422"
"P77375","P60422"
"P0A9K3","P60422"
"P76154","P60422"
"P0A759","P60422"
"P0ABU7","P60422"
"P0ACF4","P60422"
"P0A7E9","P60422"
"P0A8I5","P60422"
"P08622","P60422"
"P22523","P60422"
"P0AAS7","P60422"
"P0A968","P60422"
"P0ABF1","P60422"
"P0A776","P60422"
"P0A7Y4","P60422"
"P60240","P60422"
"P00579","P60422"
"P0AB43","P60422"
"P39177","P60422"
"P0A8E5","P60422"
"P0ADT2","P60422"
"P0A6Q3","P60422"
"P0A717","P60422"
"P64574","P60422"
"P0AFG8","P60422"
"P0AD61","P60422"
"P0ABH9","P60422"
"P0ABD5","P60422"
"Q47157","P60422"
"P18843","P60422"
"P38489","P60422"
"P0A772","P60422"
"P0A8Z3","P60422"
"P0A8G0","P60422"
"P0A8I8","P60422"
"P0A972","P60422"
"P0A7L8","P60422"
"P0AEB2","P60422"
"P0AED5","P60422"
"P76512","P60422"
"P75876","P60422"
"P06959","P60422"
"P36879","P60422"
"P76116","P60422"
"P31677","P60422"
"P14294","P60422"
"P63228","P60422"
"P64517","P60422"
"P77293","P60422"
"P0ADS6","P60422"
"P64588","P60422"
"P76316","P60422"
"P69739","P60422"
"P37751","P60422"
"P77781","P60422"
"P0ABT2","P60422"
"P67699","P60422"
"P00722","P60422"
"G0ZKW2","P60422"
"P19930","P64638"
"P75849","P0AEE1"
"P76407","P0AEE1"
"P77808","P0AEE1"
"P0ABH7","P0AEE1"
"P0A6G3","P0AEE1"
"Q46811","P0AEE1"
"P28634","P0AEE1"
"P0ABT2","P0AEE1"
"P76114","P37631"
"P31120","P37631"
"P37765","P37631"
"P37348","P0AED0"
"P69828","P0AED0"
"P37188","P0AED0"
"P39177","P0AED0"
"P0AFF6","P0AED0"
"P0A705","P0AED0"
"P0A7E9","P0AED0"
"P23843","P03018"
"P09980","P03018"
"P0AAF3","P03018"
"P30750","P03018"
"P0A6R3","P03018"
"P76001","P03018"
"P0A9K3","P03018"
"P15723","P03018"
"P04825","P03018"
"P0ACK2","P03018"
"P0AFP6","P03018"
"Q46812","P03018"
"P0ABH9","P03018"
"P43671","P03018"
"P0A847","P03018"
"P00490","P03018"
"P0AFS9","P03018"
"P31552","P03018"
"P77237","P03018"
"P02924","P03018"
"P0AGI4","P08368"
"P24193","P08368"
"P67701","P08368"
"P16926","P08368"
"P75856","P08368"
"P0A7N9","P08368"
"P0ADZ4","P08368"
"P42598","P08368"
"P0C077","P08368"
"P17445","P17446"
"P0A7F6","P13458"
"P77554","P75849"
"P0AFG3","P75849"
"P00722","P09546"
"G0ZKW2","P09546"
"P16918","P09546"
"P30126","P09546"
"P0A850","P09546"
"P0A870","P09546"
"P61714","P09546"
"P0AE08","P09546"
"P69441","P09546"
"P00634","P09546"
"P0AG67","P09546"
"P16919","P09546"
"P25888","P75966"
"P0AA39","P75966"
"P75864","P75966"
"P0AAS7","P75966"
"P0A6G7","P75966"
"P0A7U7","P75966"
"P0A7V0","P75966"
"P0AG67","P75966"
"Q47685","P0A879"
"P10151","P30850"
"P0AAC0","P77357"
"P46133","P77357"
"P77671","P77357"
"P00893","P0AFI7"
"P0A9D2","P0AFI7"
"P69434","P0AFI7"
"P75864","P21179"
"P30015","P21179"
"P76217","P77581"
"P0ABH7","P77581"
"P76243","P71239"
"P30850","P0A7Y0"
"P0A8D6","P0A7Y0"
"P77526","P0A7Y0"
"P76214","P0A7Y0"
"P61316","P65292"
"P25906","P64610"
"P0AB61","P64610"
"P0AFL9","P25535"
"P77489","P25535"
"P0AAM3","P24192"
"P06996","P24192"
"P0A7G6","P24192"
"P0A6B7","P24192"
"P0ABT2","P24192"
"P08622","P24192"
"P63284","P24192"
"P0C8J6","P24192"
"P77434","P24192"
"P0AES0","P0AG30"
"P60723","P0AG30"
