"N1","N2"
"P0AEN4","P56976"
"P0AD68","P56976"
"P0ABG4","P56976"
"P06136","P56976"
"P46889","P56976"
"P76576","P56976"
"P29131","P56976"
"P0AEN4","P58034"
"P0AD68","P58034"
"P0ABG4","P58034"
"P06136","P58034"
"P0ABH0","P58034"
"P0A9A6","P58034"
"P0A6S5","P58034"
"P0AC30","P58034"
"P29131","P58034"
"P0ABH0","P0AF36"
"P0A9A6","P0AF36"
"P0ADS2","P0AF36"
"P0A9A6","P36680"
"P0A9A6","P75862"
"P0A9A6","P0A9R7"
"P10408","P0AG86"
"P10408","P0AG96"
"P0AG99","P0AG96"
"P0AGA2","P0AG96"
"P10408","P02943"
"P0AA25","P02943"
"P10408","P39396"
"P0AFG8","P00363"
"P75818","P00363"
"P0A915","P00363"
"P77804","P00363"
"P37194","P00363"
"P0ACB4","P00363"
"P0A8Q3","P00363"
"P0A8Q0","P00363"
"P0AC47","P00363"
"P06959","P0A9P0"
"P36649","P69423"
"P18775","P69423"
"P69853","P69423"
"P26648","P69423"
"P69428","P69423"
"P69425","P69423"
"P0ABF1","P43329"
"P0ABF1","P21507"
"P0ABF1","P0A8J8"
"P21513","P0A8J8"
"P0A6P9","P0A8J8"
"P05055","P0A8J8"
"P0ABF1","P0A6X3"
"P0AG30","P0A6X3"
"P0ABF1","P21499"
"P0ABS1","P0A6W5"
"P02919","P0AB38"
"P02919","P0A908"
"P37028","P06609"
"P06611","P06609"
"P0A9D8","P60651"
"P0A940","P02932"
"P0A940","P0A937"
"P0AC02","P0A937"
"P10443","P0ABS8"
"P03007","P0ABS8"
"P10443","P28632"
"P06710","P28632"
"P28630","P28632"
"P28631","P28632"
"P0A988","P28632"
"P28905","P28632"
"P0ABD5","P0A9Q5"
"P0A8Q6","P0A9Q5"
"P16659","P0AG07"
"P0ABX2","P0AG07"
"P07364","P0AG07"
"P26608","P0AG07"
"P0ABY2","P0AG07"
"P52612","P0AG07"
"P06974","P0AG07"
"P15070","P0AG07"
"P33135","P0AG07"
"P0AGB6","P0AG07"
"P28635","P69908"
"P75818","P69908"
"P0A8Q6","P69908"
"P13035","P69908"
"P37194","P69908"
"P30750","P16433"
"P0A9F1","P16433"
"P30750","P39353"
"P0A9F1","P39353"
"Q47155","P0AFF6"
"P15288","P0AC53"
"P36938","P0AC53"
"P15288","P15254"
"P77580","P51020"
"P00634","P0AEG4"
"P0A6M2","P0AEG4"
"P0AA86","P0AEG4"
"P0AFJ5","P08400"
"P0A780","P0A7R5"
"Q46948","P0A7R5"
"P0A850","P0A7R5"
"Q46948","P07014"
"P0AC41","P07014"
"Q46948","P04825"
"Q46948","P0AA39"
"Q46948","P0A7N4"
"Q46948","P25516"
"Q46948","P0A8M3"
"Q46948","P21179"
"Q46948","P0AA43"
"Q46948","P0AE52"
"Q46948","P00957"
"Q46948","P0A7L8"
"P0AES4","P0A7L8"
"Q46948","P0AA10"
"P0A850","P0AA10"
"Q46948","P0AG55"
"P0A850","P0AG55"
"Q46948","P0A7W7"
"Q46948","P62399"
"P0A850","P62399"
"Q46948","P0ADY3"
"P0A850","P0ADY3"
"Q46948","P0A7S3"
"Q46948","P06993"
"P23872","P06993"
"P23256","P06993"
"Q46948","P0A7M2"
"P0A850","P0A7M2"
"P21513","P0A7M2"
"Q46948","P32176"
"P0AA25","P32176"
"P13024","P32176"
"P0AAJ5","P32176"
"Q46948","P0CE48"
"Q46948","P0A7J7"
"Q46948","P0A7J3"
"P0A850","P0A7J3"
"Q46948","P0A7K2"
"P0A850","P0A7K2"
"P0A850","P77791"
"P0A850","P22106"
"P0A850","P33136"
"P0A850","P0A6L7"
"P0A850","P0AFI7"
"P0A850","P0A998"
"P0A850","P06987"
"P0A850","P0A9S3"
"P0A850","P69828"
"P0A850","P0AFD1"
"P0A850","P0A6V8"
"P69786","P0A6V8"
"P0A850","P0A7Y0"
