"N1","N2"
"P76078","P76083"
"P76079","P76083"
"P76081","P76083"
"P76082","P76083"
"P77467","P76083"
"P77455","P0C7L2"
"P76077","P0C7L2"
"P76078","P0C7L2"
"P76079","P0C7L2"
"P76081","P0C7L2"
"P76082","P0C7L2"
"P77467","P0C7L2"
"P76083","P0C7L2"
"P09152","P0AF32"
"P11349","P0AF32"
"P11350","P0AF32"
"P09152","P19318"
"P11349","P19318"
"P11350","P19318"
"P0AF32","P19318"
"P09152","P19319"
"P11349","P19319"
"P11350","P19319"
"P0AF32","P19319"
"P19318","P19319"
"P18775","P24183"
"P18776","P24183"
"P18777","P24183"
"P33226","P24183"
"P33225","P24183"
"P09152","P24183"
"P11349","P24183"
"P11350","P24183"
"P0AF32","P24183"
"P19318","P24183"
"P19319","P24183"
"P18775","P0AAJ3"
"P18776","P0AAJ3"
"P18777","P0AAJ3"
"P33226","P0AAJ3"
"P33225","P0AAJ3"
"P09152","P0AAJ3"
"P11349","P0AAJ3"
"P11350","P0AAJ3"
"P0AF32","P0AAJ3"
"P19318","P0AAJ3"
"P19319","P0AAJ3"
"P24183","P0AAJ3"
"P18775","P0AEK7"
"P18776","P0AEK7"
"P18777","P0AEK7"
"P33226","P0AEK7"
"P33225","P0AEK7"
"P09152","P0AEK7"
"P11349","P0AEK7"
"P11350","P0AEK7"
"P0AF32","P0AEK7"
"P19318","P0AEK7"
"P19319","P0AEK7"
"P24183","P0AEK7"
"P0AAJ3","P0AEK7"
"P36683","P39451"
"P77580","P39451"
"P0ABH7","P39451"
"P09373","P39451"
"P08200","P39451"
"P0A9Q7","P39451"
"P52643","P39451"
"P77455","P39451"
"P62707","P26616"
"P21829","P26616"
"P0A6F1","P0A6W0"
"P00968","P0A6W0"
"P77454","P0A6W0"
"P22106","P0A6W0"
"P0AB67","P07001"
"P0ABQ4","P0AFS3"
"P0A9P0","P0AFS3"
"P24186","P0AFS3"
"P37051","P0AFS3"
"P0AFG8","P05042"
"P06959","P05042"
"P0A9P0","P05042"
"P36683","P05042"
"P0ABH7","P05042"
"P69054","P05042"
"P0AC44","P05042"
"P0AC41","P05042"
"P07014","P05042"
"P0AFG3","P05042"
"P0AFG6","P05042"
"P0A836","P05042"
"P0AGE9","P05042"
"P09373","P05042"
"P08200","P05042"
"P0A9Q7","P05042"
"P25516","P05042"
"P52643","P05042"
"P39451","P05042"
"P0AFG8","P0AC33"
"P06959","P0AC33"
"P0A9P0","P0AC33"
"P36683","P0AC33"
"P0ABH7","P0AC33"
"P69054","P0AC33"
"P0AC44","P0AC33"
"P0AC41","P0AC33"
"P07014","P0AC33"
"P0AFG3","P0AC33"
"P0AFG6","P0AC33"
"P0A836","P0AC33"
"P0AGE9","P0AC33"
"P09373","P0AC33"
"P08200","P0AC33"
"P0A9Q7","P0AC33"
"P25516","P0AC33"
"P52643","P0AC33"
"P39451","P0AC33"
"P05042","P0AC33"
"P0A6T3","P00946"
"P09148","P00946"
"P09147","P00946"
"P0AEP3","P00946"
"P0A9M2","P22333"
"P0A9M5","P22333"
"P77580","P22333"
"P0AEW6","P22333"
"P07024","P22333"
"P0AF24","P22333"
"P0A9Q7","P22333"
"P00956","P0AGJ9"
"P16659","P0AGJ9"
"P21888","P0AGJ9"
"P07813","P0AGJ9"
"P00962","P0AGJ9"
"P0A8L1","P0AGJ9"
"P0A8M0","P0AGJ9"
"P19624","P0AFI7"
"P77488","P0AFI7"
"P23721","P0AFI7"
"P77150","P0AFI7"
"P0AC84","P0AC81"
"P21513","P30014"
"P30850","P30014"
"P0AGD1","P0AGD3"
"P0AG40","P0AFU8"
"P25539","P0AFU8"
"P61714","P0AFU8"
"P0A7I7","P0AFU8"
"P0AFG8","P0AD61"
"P06959","P0AD61"
"P0A9P0","P0AD61"
"P36683","P0AD61"
"P0ABH7","P0AD61"
"P62707","P0AD61"
"P21829","P0AD61"
"P09373","P0AD61"
"P08200","P0AD61"
"P0A9Q7","P0AD61"
"P52643","P0AD61"
"P39451","P0AD61"
"P05042","P0AD61"
"P0AC33","P0AD61"
"P0AF03","P77444"
"P30745","P77444"
"P30748","P77444"
"P30749","P77444"
"P12282","P77444"
"P12281","P77444"
"P0A6E1","P0A6D5"
"P0AB91","P0A6D5"
"P0A6D3","P0A6D5"
"P0A6E1","P05194"
"P0AB91","P05194"
"P0A6D3","P05194"
"P0A6D5","P05194"
"Q47146","P0A9U8"
"P77455","P0A9U8"
