node1 node2 experimental database textmining combined_score
b0015 b1162 276 0 93 315
b0015 b0646 206 0 63 224
b0015 b4309 199 0 0 199
b0015 b2127 276 0 93 315
b0015 b1276 283 0 65 300
b0015 b3927 243 0 0 242
b0020 b3585 0 0 230 229
b0020 b0881 457 0 0 457
b0020 b2741 0 0 255 255
b0020 b0338 0 0 257 256
b0023 b3308 945 0 0 945
b0023 b0169 945 720 0 984
b0023 b3988 800 0 0 800
b0023 b0949 465 0 0 465
b0023 b2938 457 0 0 457
b0023 b3985 935 0 0 935
b0023 b3319 945 0 0 945
b0023 b4375 800 0 0 800
b0023 b3486 0 720 0 720
b0023 b3303 949 720 0 985
b0023 b3307 945 720 0 984
b0023 b3936 905 0 0 905
b0023 b3287 935 0 0 935
b0023 b0957 800 0 0 800
b0023 b3302 945 0 0 945
b0023 b0953 800 0 0 800
b0023 b2597 518 720 0 859
b0023 b2620 925 0 0 925
b0023 b3311 945 720 0 984
b0023 b3299 919 0 0 919
b0023 b2610 453 0 0 453
b0023 b3342 945 720 0 984
b0023 b3317 945 0 0 945
b0023 b3649 809 0 0 809
b0023 b1480 0 720 0 720
b0023 b3986 925 0 0 925
b0023 b3703 945 0 0 945
b0023 b3318 945 0 0 945
b0023 b2569 963 0 0 963
b0023 b3312 945 0 0 945
b0023 b2331 800 0 0 800
b0023 b3295 935 0 0 935
b0023 b4202 945 720 0 984
b0023 b4506 905 0 0 905
b0023 b3981 800 0 0 800
b0023 b3707 800 0 0 800
b0023 b3300 800 0 0 800
b0023 b3352 465 0 0 465
b0023 b0820 465 0 0 465
b0023 b3320 945 0 0 945
b0023 b3168 642 0 0 642
b0023 b3987 807 0 0 807
b0023 b3170 800 0 0 800
b0023 b0093 800 0 0 800
b0023 b3165 945 720 0 984
b0023 b3305 945 0 0 945
b0023 b3984 945 0 0 945
b0023 b3231 935 0 0 935
b0023 b3982 800 0 0 800
b0023 b0097 800 0 0 800
b0023 b1211 850 0 0 850
b0023 b1716 945 0 0 945
b0023 b3321 935 720 0 981
b0023 b3315 945 0 0 945
b0023 b3306 945 720 0 984
b0023 b3304 945 0 0 945
b0023 b2606 945 0 0 945
b0023 b3203 967 540 0 984
b0023 b3590 807 0 0 807
b0023 b3296 945 720 0 984
b0023 b3340 925 0 0 925
b0023 b3310 945 0 0 945
b0023 b1717 945 0 0 945
b0023 b3636 945 0 0 945
