,Trifluoperazine,Tamoxifen,Fluconazole 8ug/ml,Fluconazole 10ug/ml,L-cycloserine,Sertraline,Clomiphene
YFL017C,-0.64,1.57,0.48,-1.01,0.11,-0.06,0.84
YFL018W-A,-0.39,0.98,1.65,0.87,0.93,-0.81,-0.69
YFL022C,1.19,0.26,-0.13,-0.53,0.48,-0.51,0.39
YFL024C,0.23,0.22,0.71,-0.4,-0.63,-0.59,0.45
YFL029C,-0.44,-0.78,-0.3,0.2,0.5,0.37,-0.36
YFL035C,0.91,1.03,0.38,0.34,0.35,0.31,1.51
YFL035C-A,0.31,0.59,0.98,-0.04,0.55,0.18,0.14
YFL037W,0.03,0.1,0.64,1.3,-0.46,-0.06,-1.52
YFL038C,0.21,0.06,0.39,1.28,-0.68,-1.04,0.48
YFL039C,-5.8,-1.93,-1.79,-1.12,-2.24,1.01,-0.19
YFL045C,-0.77,0.9,1.09,0.66,-0.1,-0.71,0.32
YFR002W,0,0.38,0.9,0,0.28,0.05,0.93
YFR003C,0.31,0,0.6,0.41,0.53,0.11,0.13
YFR004W,0.06,-0.15,-0.26,0.31,1.01,1.06,1.25
YFR005C,1.31,0.81,1.73,0.02,0.9,-1.53,1.23
YFR027W,1.18,0.17,-0.36,0.08,0.02,0.46,0.63
YFR028C,-0.62,-0.69,0.44,0.33,0.1,-1.25,-0.29
YFR029W,-0.41,-0.21,0.39,-0.5,-0.5,-1.47,0.23
YFR031C,0.86,-0.52,0.22,0.84,-0.47,0.7,-0.57
YFR037C,-0.81,-1.16,-1.85,-1.91,1.13,-0.52,-0.29
YFR042W,-0.09,-0.12,-0.07,-0.46,0.49,0.32,0.97
YFR050C,0.15,0.93,0.73,-0.02,-0.23,0.05,0.33
YFR051C,0.44,-1.39,-0.96,-0.66,-0.67,0.45,-0.24
YFR052W,0.64,0.71,0.19,0.06,0.48,0.06,0.67
YGL001C,0,0,0,0,0,-0.12,0.74
YGL008C,-1.83,-0.36,-0.86,0.01,0.37,-0.2,-1.08
YGL011C,-0.52,1.32,1.3,1.31,0.54,-1.35,1.16
YGL018C,0,0,1.52,0,0.73,0,1.35
YGL022W,0.62,0.09,-0.04,-0.14,0.05,-0.37,0.82
YGL030W,1,1.57,0.27,0.21,1.18,0.15,1.21
YGL040C,0,0,0,0,0,-1.97,0
YGL044C,0,0,0,0,0,0,0
YGL047W,-0.74,0.25,0.85,0.25,-1.49,-0.18,-0.49
YGL048C,-0.8,-0.27,0.42,0.33,-0.52,-0.14,-0.68
YGL055W,0.23,0.57,-0.67,-0.24,0.65,0.93,0.42
YGL061C,1.36,0.38,-0.12,0.32,0.18,0.45,0.21
YGL065C,0.16,-0.08,0.06,-0.3,-1.43,-0.41,1.21
YGL068W,0.53,1.09,0.68,-0.63,0.16,0.04,0.83
YGL069C,0.14,-0.9,0.21,0.5,-0.05,0.51,0.23
YGL073W,-2.32,2.1,1.65,-1.03,0.96,0.26,1.48
YGL074C,-0.25,-0.42,0.06,0.47,-0.08,-0.17,-0.38
YGL075C,0.18,0.65,0.74,0.19,0.6,-1.29,0.4
YGL091C,-0.57,-0.78,-0.35,-0.57,-0.55,-0.85,-0.34
YGL092W,0.36,0.78,0.96,0.11,0.41,-0.76,1.3
YGL093W,-0.4,0.9,1.38,1.4,0.63,-1.1,0.54
YGL098W,0.78,-0.5,0.49,0.67,1.49,-0.71,0.32
YGL099W,0,0,0,0,1.54,-2.22,1.22
YGL102C,0.22,0.27,0.51,0.77,-0.01,-0.4,0.8
YGL103W,1.91,-0.29,1.74,0.86,-0.98,-1.02,-1.81
YGL111W,-0.17,0.07,1.32,-1.1,0.51,1.32,0.71
YGL112C,0.06,-0.23,-0.08,0.34,-0.3,0.48,0.8
YGL113W,0.18,-0.12,0.18,-0.19,0.55,-0.48,0.15
YGL116W,1.81,-1.84,-0.6,-1.03,1,-1.16,-0.86
YGL120C,0.83,0.06,-0.27,-1.23,1.64,-0.02,0.12
YGL122C,0.11,1.8,1.62,-0.02,2.14,0.84,0.76
YGL123W,-0.09,-0.35,0.19,1.27,-0.15,0.05,0.39
